Huntington Bancshares Price to Free Cash Flow Ratio Historical Data,Huntington Bancshares Price to Free Cash Flow Ratio Historical Data,Huntington Bancshares Price to Free Cash Flow Ratio Historical Data,Huntington Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,14.97,,37.43
2024-06-30,13.18,$0.40,32.96
2023-12-31,12.42,$1.71,7.24
2023-09-30,10.03,$3.45,2.9
2023-06-30,10.25,$3.08,3.33
2023-03-31,10.5,$3.22,3.26
2022-12-31,13.02,$3.78,3.44
2024-03-31,13.78,$2.00,6.88
2022-09-30,12.03,$2.17,5.54
2022-06-30,10.86,$1.78,6.09
2022-03-31,13.03,$2.07,6.3
2021-12-31,13.6,$1.41,9.64
2021-09-30,13.5,$0.97,13.9
2021-06-30,12.34,$1.31,9.4
2021-03-31,13.45,$0.57,23.71
2020-12-31,10.71,$1.17,9.19
2020-09-30,7.68,$1.75,4.38
2020-06-30,7.46,$1.28,5.84
2020-03-31,6.68,$1.42,4.72
2019-12-31,12.05,$1.39,8.67
2019-09-30,11.29,$1.26,8.98
2019-06-30,10.83,$1.71,6.32
2019-03-31,9.83,$1.66,5.93
2018-12-31,9.15,$1.46,6.26
2018-09-30,11.45,$1.66,6.89
2018-06-30,11.23,$1.65,6.81
2018-03-31,11.4,$1.49,7.66
2017-12-31,10.92,$1.55,7.05
2017-09-30,10.39,$1.41,7.39
2017-06-30,10.0,$1.26,7.91
2017-03-31,9.85,$1.28,7.71
2016-12-31,9.67,$1.19,8.11
2016-09-30,7.16,$1.40,5.13
2016-06-30,6.45,$1.43,4.52
2016-03-31,6.83,$1.41,4.84
2015-12-31,7.86,$1.15,6.84
2015-09-30,7.49,$0.68,10.96
2015-06-30,7.95,$0.62,12.87
2015-03-31,7.72,$0.79,9.83
2014-12-31,7.31,$1.00,7.34
2014-09-30,6.73,$0.94,7.16
2014-06-30,6.56,$1.08,6.05
2014-03-31,6.82,$1.03,6.62
2013-12-31,6.57,$1.08,6.08
2013-09-30,5.59,$1.19,4.71
2013-06-30,5.3,$0.85,6.2
2013-03-31,4.93,$0.95,5.21
2012-12-31,4.25,$1.01,4.21
2012-09-30,4.56,$0.88,5.19
2012-06-30,4.21,$0.97,4.36
2012-03-31,4.21,$1.12,3.76
2011-12-31,3.56,$1.67,2.13
2011-09-30,3.09,$1.40,2.21
2011-06-30,4.19,$1.30,3.22
2011-03-31,4.24,$1.48,2.87
2010-12-31,4.38,$1.06,4.13
2010-09-30,3.62,$1.68,2.16
2010-06-30,3.52,$1.32,2.67
2010-03-31,3.42,$1.17,2.91
2009-12-31,2.31,$3.60,0.64
