Merchants Bancorp Price to Free Cash Flow Ratio Historical Data,Merchants Bancorp Price to Free Cash Flow Ratio Historical Data,Merchants Bancorp Price to Free Cash Flow Ratio Historical Data,Merchants Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.06,,0.0
2024-06-30,40.46,$-3.40,0.0
2024-03-31,42.99,$-10.29,0.0
2023-12-31,42.3,$-8.40,0.0
2023-09-30,27.48,$-44.66,0.0
2023-06-30,25.29,$-10.30,0.0
2023-03-31,25.67,$-14.41,0.0
2022-12-31,23.9,$22.37,1.07
2022-09-30,22.61,$50.06,0.45
2022-06-30,22.15,$12.66,1.75
2022-03-31,26.68,$21.78,1.22
2021-12-31,30.67,$-1.22,0.0
2021-09-30,25.52,$-1.36,0.0
2021-06-30,25.31,$31.54,0.8
2021-03-31,26.99,$6.66,4.06
2020-12-31,17.75,$-20.35,0.0
2020-09-30,12.62,$-18.63,0.0
2020-06-30,11.8,$-75.15,0.0
2020-03-31,9.64,$-49.70,0.0
2019-12-31,12.44,$-27.25,0.0
2019-09-30,10.4,$-36.07,0.0
2019-03-31,13.41,$7.39,1.81
2018-12-31,12.4,$4.53,2.74
2018-09-30,15.75,$20.10,0.78
2018-06-30,17.64,$-3.49,0.0
