Clearway Energy Price to Free Cash Flow Ratio Historical Data,Clearway Energy Price to Free Cash Flow Ratio Historical Data,Clearway Energy Price to Free Cash Flow Ratio Historical Data,Clearway Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.54,,7.86
2024-06-30,24.33,$3.50,6.94
2024-03-31,22.71,$3.68,6.17
2023-12-31,26.54,$3.72,7.14
2023-09-30,20.15,$4.41,4.57
2023-06-30,26.78,$4.93,5.43
2023-03-31,28.99,$5.26,5.51
2022-12-31,29.14,$5.77,5.05
2022-09-30,28.83,$5.62,5.13
2022-06-30,31.23,$5.13,6.09
2022-03-31,32.4,$5.19,6.24
2021-12-31,31.64,$4.52,7.0
2021-09-30,26.35,$3.93,6.71
2021-06-30,22.8,$3.84,5.94
2021-03-31,23.94,$2.97,8.06
2020-12-31,26.85,$3.63,7.4
2020-09-30,22.42,$3.69,6.08
2020-06-30,18.95,$2.66,7.12
2020-03-31,15.3,$2.25,6.79
2019-12-31,16.08,$2.28,7.04
2019-09-30,14.56,$2.36,6.17
2019-06-30,13.3,$3.42,3.89
2019-03-31,11.76,$3.94,2.99
2018-12-31,13.25,$3.99,3.32
2018-09-30,14.53,$4.33,3.36
2018-06-30,12.77,$3.49,3.66
2018-03-31,12.41,$3.18,3.9
2017-12-31,13.53,$3.30,4.1
2017-09-30,13.61,$4.37,3.12
2017-06-30,12.23,$4.87,2.51
2017-03-31,12.11,$5.44,2.23
2016-12-31,10.66,$5.68,1.87
2016-09-30,11.26,$5.22,2.15
2016-06-30,10.21,$5.20,1.96
2016-03-31,9.18,$4.52,2.03
2015-12-31,9.35,$4.71,1.98
2015-09-30,7.24,$4.82,1.5
2015-06-30,13.48,$4.61,2.93
2015-03-31,31.01,$6.29,4.93
2014-12-31,28.82,$5.39,5.34
2014-09-30,28.76,$9.33,3.08
2014-06-30,31.82,$-3.07,0.0
