A10 Networks Price to Free Cash Flow Ratio Historical Data,A10 Networks Price to Free Cash Flow Ratio Historical Data,A10 Networks Price to Free Cash Flow Ratio Historical Data,A10 Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.73,,19.12
2024-06-30,13.79,$0.77,17.89
2024-03-31,13.57,$0.88,15.36
2023-12-31,13.0,$0.45,29.21
2023-09-30,14.76,$0.77,19.24
2023-06-30,14.27,$0.64,22.28
2023-03-31,15.09,$0.50,29.96
2022-12-31,16.13,$0.71,22.68
2022-09-30,12.83,$0.48,26.68
2022-06-30,13.86,$0.60,23.15
2022-03-31,13.4,$0.70,19.05
2021-12-31,15.87,$0.56,28.28
2021-09-30,12.86,$0.67,19.14
2021-06-30,10.75,$0.60,18.01
2021-03-31,9.17,$0.52,17.63
2020-12-31,9.41,$0.65,14.56
2020-09-30,6.08,$0.51,11.94
2020-06-30,6.5,$0.37,17.49
2020-03-31,5.93,$0.18,33.69
2019-12-31,6.56,$-0.06,0.0
2019-09-30,6.62,$-0.09,0.0
2019-06-30,6.51,$-0.19,0.0
2019-03-31,6.77,$-0.15,0.0
2018-12-31,5.96,$-0.08,0.0
2018-09-30,5.8,$-0.07,0.0
2018-06-30,5.95,$-0.11,0.0
2018-03-31,5.55,$0.10,53.51
2017-12-31,7.37,$0.12,60.14
2017-09-30,7.21,$0.03,254.94
2017-06-30,8.05,$0.13,61.77
2017-03-31,8.73,$0.07,126.37
2016-12-31,7.93,$0.21,37.46
2016-09-30,10.2,$0.18,55.72
2016-06-30,6.17,$0.23,27.0
2016-03-31,5.65,$0.24,23.21
2015-12-31,6.26,$-0.00,0.0
2015-09-30,5.72,$-0.36,0.0
2015-06-30,6.15,$-0.50,0.0
2015-03-31,4.13,$-0.50,0.0
2014-12-31,4.16,$-0.75,0.0
