Moody's Price to Free Cash Flow Ratio Historical Data,Moody's Price to Free Cash Flow Ratio Historical Data,Moody's Price to Free Cash Flow Ratio Historical Data,Moody's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,487.74,,45.08
2024-06-30,420.16,$10.82,38.84
2024-03-31,391.51,$9.16,42.73
2023-12-31,388.18,$6.82,56.91
2023-09-30,313.58,$5.81,53.94
2022-12-31,274.3,$6.45,42.54
2022-09-30,238.78,$8.89,26.85
2022-06-30,266.54,$4.63,57.57
2022-03-31,329.85,$5.61,58.75
2021-12-31,381.01,$6.42,59.34
2023-06-30,344.07,$5.89,58.38
2021-09-30,345.85,$12.07,28.66
2021-06-30,352.33,$12.48,28.24
2021-03-31,289.79,$12.59,23.01
2020-12-31,281.04,$10.79,26.04
2020-09-30,280.09,$9.86,28.39
2020-06-30,264.95,$9.48,27.95
2020-03-31,203.52,$7.18,28.33
2019-12-31,227.97,$8.38,27.2
2019-09-30,196.25,$7.74,25.36
2019-06-30,186.7,$7.34,25.45
2023-03-31,302.07,$7.95,38.0
2019-03-31,172.64,$6.91,24.98
2018-12-31,133.12,$7.05,18.89
2018-09-30,158.46,$7.23,21.92
2018-06-30,161.23,$7.65,21.07
2018-03-31,152.09,$8.09,18.8
2017-12-31,138.82,$3.42,40.6
2017-09-30,130.59,$1.85,70.72
2017-06-30,113.81,$1.34,85.09
2017-03-31,104.44,$0.41,253.26
2016-12-31,87.58,$4.68,18.72
2015-12-31,91.79,$5.45,16.83
2015-09-30,89.54,$4.34,20.61
2015-06-30,98.13,$4.06,24.19
2015-03-31,94.06,$3.63,25.92
2014-12-31,86.52,$3.67,23.55
2016-09-30,100.22,$4.14,24.21
2014-09-30,85.1,$4.20,20.25
2014-06-30,78.7,$4.35,18.1
2014-03-31,70.97,$3.83,18.54
2013-12-31,69.96,$3.96,17.68
2013-09-30,62.49,$4.20,14.88
2013-06-30,53.93,$4.05,13.33
2013-03-31,47.06,$1.77,26.52
2012-12-31,44.22,$3.23,13.7
2012-09-30,38.68,$2.04,18.98
2012-06-30,31.88,$1.47,21.67
2016-06-30,86.43,$3.95,21.9
2012-03-31,36.55,$2.63,13.91
2011-12-31,29.12,$3.21,9.08
2011-09-30,26.22,$3.32,7.9
2011-06-30,32.87,$3.06,10.73
2011-03-31,28.96,$2.59,11.17
2010-12-31,22.58,$2.43,9.3
2010-09-30,21.17,$2.96,7.15
2010-06-30,16.8,$3.46,4.85
2010-03-31,24.97,$3.37,7.4
2009-12-31,22.41,$3.20,7.0
2016-03-31,88.71,$2.80,31.73
