Frontline Price to Free Cash Flow Ratio Historical Data,Frontline Price to Free Cash Flow Ratio Historical Data,Frontline Price to Free Cash Flow Ratio Historical Data,Frontline Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.02,,0.0
2024-06-30,25.07,$-5.83,0.0
2024-03-31,22.18,$-6.31,0.0
2023-12-31,18.73,$-2.84,0.0
2023-09-30,17.27,$-2.79,0.0
2023-06-30,12.72,$3.04,4.18
2023-03-31,13.87,$1.16,11.93
2022-12-31,9.54,$0.61,15.76
2022-09-30,8.59,$2.72,3.15
2022-06-30,6.88,$-0.83,0.0
2022-03-31,6.83,$-0.96,0.0
2021-12-31,5.49,$-1.55,0.0
2021-09-30,7.28,$-0.85,0.0
2021-06-30,6.99,$-0.11,0.0
2021-03-31,5.55,$1.15,4.81
2020-12-31,4.83,$2.22,2.18
2020-09-30,5.05,$2.58,1.96
2020-06-30,5.07,$2.11,2.4
2020-03-31,6.42,$1.14,5.62
2019-12-31,8.23,$0.47,17.52
2019-09-30,5.77,$-0.11,0.0
2019-06-30,5.08,$0.09,56.14
2019-03-31,4.1,$0.25,16.61
2018-12-31,3.51,$-1.00,0.0
2018-09-30,3.69,$-0.84,0.0
2018-06-30,3.71,$-2.52,0.0
2018-03-31,2.81,$-3.42,0.0
2017-12-31,2.91,$-2.48,0.0
2017-09-30,3.83,$-2.60,0.0
2017-06-30,3.64,$-1.78,0.0
2016-12-31,4.29,$-1.04,0.0
2016-09-30,4.28,$-0.56,0.0
2016-06-30,4.57,$-1.75,0.0
2016-03-31,4.67,$-0.29,0.0
2015-12-31,8.05,$-1.02,0.0
2015-09-30,7.13,$-1.04,0.0
2015-06-30,6.46,$-0.33,0.0
2017-03-31,4.16,$-3.49,0.0
2014-12-31,6.65,$0.07,99.09
2014-09-30,3.34,$0.57,5.81
2014-06-30,7.74,$-0.14,0.0
2014-03-31,10.41,$1.99,5.24
2013-12-31,9.91,$-2.38,0.0
2015-03-31,5.93,$-4.47,0.0
2013-09-30,7.02,$-2.59,0.0
2013-06-30,4.69,$-1.88,0.0
2013-03-31,6.2,$1.43,4.33
2012-12-31,8.64,$4.13,2.09
2012-09-30,10.17,$8.43,1.21
2012-06-30,12.08,$6.98,1.73
2012-03-31,20.37,$13.27,1.53
2011-12-31,11.36,$11.78,0.96
2011-09-30,12.85,$-7.06,0.0
2011-06-30,38.93,$9.24,4.21
2011-03-31,65.04,$-7.58,0.0
2010-12-31,66.37,$-13.95,0.0
2010-09-30,73.67,$3.03,24.28
2010-06-30,71.93,$-10.03,0.0
2010-03-31,75.57,$2.17,34.86
2009-12-31,66.81,$9.81,6.81
