Euronet Worldwide Price to Free Cash Flow Ratio Historical Data,Euronet Worldwide Price to Free Cash Flow Ratio Historical Data,Euronet Worldwide Price to Free Cash Flow Ratio Historical Data,Euronet Worldwide Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,99.07,,9.49
2024-06-30,103.5,$10.44,9.91
2024-03-31,109.93,$11.05,9.95
2023-12-31,101.49,$10.63,9.54
2023-09-30,79.38,$13.56,5.85
2023-06-30,117.37,$13.04,9.0
2023-03-31,111.9,$12.11,9.24
2022-12-31,94.38,$12.05,7.84
2022-09-30,75.76,$8.44,8.97
2022-06-30,100.59,$5.87,17.15
2022-03-31,130.15,$5.88,22.14
2021-12-31,119.17,$5.87,20.31
2021-09-30,127.28,$4.58,27.77
2021-06-30,135.35,$2.79,48.56
2021-03-31,138.3,$1.22,113.25
2020-12-31,144.92,$2.96,48.96
2020-09-30,91.1,$4.88,18.66
2020-06-30,95.82,$9.54,10.04
2020-03-31,85.72,$8.51,10.08
2019-12-31,157.56,$6.80,23.18
2019-09-30,146.3,$7.89,18.54
2019-06-30,168.24,$4.71,35.69
2019-03-31,142.59,$4.82,29.6
2018-12-31,102.38,$5.21,19.64
2018-09-30,100.22,$2.12,47.35
2018-06-30,83.77,$2.73,30.73
2018-03-31,78.92,$2.62,30.16
2017-12-31,84.27,$3.43,24.57
2017-09-30,94.79,$6.12,15.49
2017-06-30,87.37,$4.92,17.77
2017-03-31,85.52,$4.91,17.42
2016-12-31,72.43,$5.63,12.86
2016-09-30,81.83,$2.23,36.77
2016-06-30,69.19,$2.03,34.08
2016-03-31,74.11,$3.43,21.6
2015-12-31,72.43,$2.60,27.89
2015-09-30,74.09,$3.14,23.57
2015-06-30,61.7,$4.10,15.05
2015-03-31,58.75,$3.16,18.6
2014-12-31,54.9,$3.19,17.21
2014-09-30,47.79,$3.39,14.09
2014-06-30,48.24,$3.16,15.25
2014-03-31,41.59,$3.08,13.52
2013-12-31,47.85,$2.47,19.37
2013-09-30,39.88,$2.91,13.69
2013-06-30,31.86,$2.67,11.91
2013-03-31,26.34,$2.63,10.03
2012-12-31,23.6,$2.69,8.76
2012-09-30,18.79,$2.25,8.34
2012-06-30,17.07,$0.95,17.97
2012-03-31,20.89,$0.74,28.32
2011-12-31,18.48,$1.00,18.43
2011-09-30,15.74,$1.18,13.33
2011-06-30,15.41,$0.82,18.79
2011-03-31,19.33,$1.16,16.62
2010-12-31,17.44,$1.55,11.24
2010-09-30,17.99,$0.86,20.93
2010-06-30,12.79,$2.20,5.82
2010-03-31,18.43,$2.10,8.76
2009-12-31,21.95,$1.36,16.14
