Kronos Worldwide Inc Price to Free Cash Flow Ratio Historical Data,Kronos Worldwide Inc Price to Free Cash Flow Ratio Historical Data,Kronos Worldwide Inc Price to Free Cash Flow Ratio Historical Data,Kronos Worldwide Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.35,,48.02
2024-06-30,12.49,$0.26,48.57
2024-03-31,11.58,$-0.94,0.0
2023-12-31,9.55,$-0.49,0.0
2023-09-30,7.29,$-1.04,0.0
2023-06-30,8.03,$-0.38,0.0
2022-12-31,8.32,$0.16,51.93
2022-09-30,8.1,$2.50,3.24
2022-06-30,15.72,$1.44,10.89
2022-03-31,13.13,$1.28,10.23
2021-12-31,12.53,$1.66,7.53
2023-03-31,8.29,$-0.31,0.0
2021-09-30,10.22,$0.97,10.55
2021-06-30,11.63,$0.90,12.94
2021-03-31,12.3,$0.96,12.84
2020-12-31,11.84,$0.34,34.48
2020-09-30,10.08,$0.29,34.98
2020-06-30,8.04,$0.84,9.57
2020-03-31,6.42,$0.77,8.34
2019-12-31,10.0,$0.91,11.01
2019-09-30,9.11,$0.50,18.11
2019-06-30,11.1,$-0.11,0.0
2019-03-31,10.02,$0.69,14.48
2018-12-31,8.14,$1.14,7.14
2018-09-30,11.33,$1.71,6.64
2018-06-30,15.58,$2.43,6.41
2018-03-31,15.52,$1.94,7.99
2017-12-31,17.56,$1.83,9.61
2017-09-30,15.48,$1.55,9.98
2017-06-30,12.26,$1.02,11.97
2017-03-31,10.97,$0.53,20.73
2016-12-31,7.88,$0.16,50.22
2016-09-30,5.41,$0.39,13.8
2016-06-30,3.37,$0.13,26.73
2015-12-31,3.45,$0.04,79.98
2015-09-30,3.7,$0.64,5.76
2015-06-30,6.4,$0.13,47.86
2015-03-31,7.29,$-0.01,0.0
2014-12-31,7.42,$0.28,26.95
2016-03-31,3.58,$-0.37,0.0
2014-09-30,7.75,$0.33,23.34
2014-06-30,8.73,$0.90,9.75
2014-03-31,9.2,$0.88,10.43
2013-12-31,10.41,$0.54,19.21
2013-09-30,8.38,$0.01,0.0
2013-06-30,8.7,$0.45,19.36
2013-03-31,8.3,$0.62,13.41
2012-12-31,10.26,$0.02,566.86
2012-09-30,7.79,$0.30,26.32
2012-06-30,8.16,$0.63,13.04
2012-03-31,12.78,$0.79,16.25
2011-12-31,9.18,$1.96,4.69
2011-09-30,8.12,$2.20,3.69
2011-06-30,15.77,$1.55,10.19
2011-03-31,14.58,$1.19,12.21
2010-12-31,10.34,$0.88,11.81
2010-09-30,9.64,$0.61,15.8
2010-06-30,4.72,$0.14,32.93
2010-03-31,3.54,$0.68,5.18
2009-12-31,3.93,$0.64,6.15
