Park National Price to Free Cash Flow Ratio Historical Data,Park National Price to Free Cash Flow Ratio Historical Data,Park National Price to Free Cash Flow Ratio Historical Data,Park National Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,179.37,,17.19
2024-06-30,141.43,$10.43,13.56
2024-03-31,133.98,$9.41,14.24
2023-12-31,129.98,$8.79,14.78
2023-09-30,91.62,$8.30,11.04
2023-06-30,98.2,$7.84,12.53
2023-03-31,112.66,$7.48,15.05
2022-12-31,132.63,$7.76,17.1
2022-09-30,116.07,$7.58,15.3
2022-06-30,112.22,$7.55,14.86
2022-03-31,120.49,$7.78,15.48
2021-12-31,124.94,$8.72,14.33
2021-09-30,110.01,$9.34,11.78
2021-06-30,105.0,$13.10,8.02
2021-03-31,114.69,$7.45,15.39
2020-12-31,92.17,$5.06,18.22
2020-09-30,71.24,$4.07,17.5
2020-06-30,60.46,$0.02,2583.55
2020-03-31,65.71,$4.69,14.01
2019-12-31,85.6,$5.92,14.45
2019-09-30,78.49,$5.83,13.47
2019-06-30,81.35,$6.32,12.87
2019-03-31,76.76,$7.83,9.81
2018-12-31,67.99,$7.72,8.81
2018-09-30,83.62,$6.83,12.24
2018-06-30,87.51,$6.39,13.69
2018-03-31,80.64,$5.04,16.01
2017-12-31,80.1,$5.18,15.47
2017-09-30,82.45,$5.84,14.11
2017-06-30,78.43,$5.50,14.26
2017-03-31,78.81,$5.90,13.37
2016-12-31,88.86,$5.22,17.02
2016-09-30,70.7,$5.57,12.69
2016-06-30,66.91,$5.40,12.39
2016-03-31,64.94,$5.48,11.85
2015-12-31,64.56,$5.06,12.77
2015-09-30,63.74,$4.59,13.88
2015-06-30,61.06,$4.85,12.58
2015-03-31,59.13,$4.05,14.6
2014-12-31,60.48,$4.17,14.5
2014-09-30,50.97,$3.21,15.88
2014-06-30,51.54,$5.12,10.08
2014-03-31,50.68,$6.37,7.96
2013-12-31,55.37,$7.30,7.59
2013-09-30,50.88,$10.83,4.7
2013-06-30,43.74,$8.82,4.96
2013-03-31,43.8,$8.80,4.98
2012-12-31,40.0,$8.56,4.67
2012-09-30,42.69,$7.16,5.96
2012-06-30,41.96,$9.04,4.64
2012-03-31,41.02,$8.30,4.94
2011-12-31,38.07,$7.59,5.02
2011-09-30,30.44,$7.73,3.94
2011-06-30,37.23,$6.48,5.75
2011-03-31,37.24,$7.19,5.18
2010-12-31,39.92,$7.90,5.05
2010-09-30,34.7,$4.14,8.38
2010-06-30,34.7,$3.07,11.29
2010-03-31,32.77,$3.27,10.01
2009-12-31,30.46,$4.53,6.73
