CNX Resources Price to Free Cash Flow Ratio Historical Data,CNX Resources Price to Free Cash Flow Ratio Historical Data,CNX Resources Price to Free Cash Flow Ratio Historical Data,CNX Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.05,,38.77
2024-06-30,24.3,$0.90,26.88
2024-03-31,23.72,$1.30,18.25
2023-12-31,20.0,$1.59,12.58
2023-09-30,22.58,$2.71,8.33
2023-06-30,17.72,$3.57,4.96
2023-03-31,16.02,$3.01,5.32
2022-12-31,16.84,$3.73,4.52
2022-09-30,15.53,$3.02,5.14
2022-06-30,16.46,$2.67,6.17
2022-03-31,20.72,$3.07,6.75
2021-12-31,13.75,$2.34,5.87
2021-09-30,12.62,$2.04,6.19
2021-06-30,13.66,$1.98,6.91
2021-03-31,14.7,$1.54,9.56
2020-12-31,10.8,$1.79,6.04
2020-09-30,9.44,$0.93,10.15
2020-06-30,8.65,$0.24,35.68
2020-03-31,5.32,$-0.26,0.0
2019-12-31,8.85,$-0.88,0.0
2019-09-30,7.26,$-1.00,0.0
2019-06-30,7.31,$0.50,14.51
2019-03-31,10.77,$0.81,13.23
2018-12-31,11.42,$1.31,8.72
2018-09-30,14.31,$1.59,8.99
2018-06-30,17.78,$0.72,24.59
2018-03-31,15.43,$1.92,8.02
2017-12-31,14.63,$1.86,7.86
2017-09-30,16.94,$2.54,6.67
2017-06-30,14.94,$2.55,5.87
2017-03-31,16.78,$1.72,9.74
2016-12-31,18.23,$1.48,12.35
2016-09-30,19.2,$1.66,11.58
2016-06-30,16.09,$0.88,18.26
2016-03-31,11.29,$-0.54,0.0
2015-12-31,7.89,$-1.06,0.0
2015-09-30,9.77,$-1.56,0.0
2015-06-30,21.67,$-1.53,0.0
2015-03-31,27.75,$-1.01,0.0
2014-12-31,33.57,$-0.72,0.0
2014-09-30,37.53,$-2.47,0.0
2014-06-30,45.6,$-1.19,0.0
2014-03-31,39.48,$-1.46,0.0
2013-12-31,37.53,$-1.54,0.0
2013-09-30,33.09,$0.87,38.19
2013-06-30,26.54,$0.07,401.49
2013-03-31,32.84,$0.74,44.53
2012-12-31,31.33,$0.56,56.17
2012-09-30,29.11,$0.47,62.12
2012-06-30,29.18,$3.42,8.53
2012-03-31,32.78,$3.78,8.67
2011-12-31,35.17,$4.78,7.35
2011-09-30,32.42,$3.96,8.19
2011-06-30,46.2,$1.42,32.44
2011-03-31,51.0,$1.46,35.05
2010-12-31,46.26,$0.17,270.34
2010-09-30,34.99,$0.91,38.38
2010-06-30,31.88,$0.20,158.03
2010-03-31,40.18,$0.69,58.34
2009-12-31,46.8,$1.15,40.69
