Belden Inc Price to Free Cash Flow Ratio Historical Data,Belden Inc Price to Free Cash Flow Ratio Historical Data,Belden Inc Price to Free Cash Flow Ratio Historical Data,Belden Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,122.23,,22.21
2024-06-30,93.75,$5.50,17.03
2024-03-31,92.52,$5.59,16.56
2023-12-31,77.13,$5.06,15.25
2023-09-30,96.33,$5.92,16.26
2023-06-30,95.38,$6.30,15.15
2023-03-31,86.48,$5.40,16.02
2022-12-31,71.62,$4.93,14.52
2022-09-30,59.75,$5.27,11.33
2022-06-30,52.99,$3.83,13.84
2022-03-31,55.06,$4.32,12.75
2021-12-31,65.26,$4.66,14.01
2021-09-30,57.8,$3.35,17.27
2021-06-30,50.12,$3.04,16.51
2021-03-31,43.94,$2.35,18.67
2020-12-31,41.45,$1.92,21.58
2020-09-30,30.74,$3.18,9.66
2020-06-30,32.11,$3.53,9.09
2020-03-31,35.54,$4.09,8.69
2019-12-31,54.1,$3.94,13.75
2019-09-30,52.42,$4.24,12.36
2019-06-30,58.48,$5.62,10.41
2019-03-31,52.68,$5.35,9.84
2018-12-31,40.94,$4.71,8.69
2018-09-30,69.91,$3.66,19.1
2018-06-30,59.79,$2.57,23.29
2018-03-31,67.39,$2.64,25.53
2017-12-31,75.38,$4.50,16.74
2017-09-30,78.62,$5.18,15.17
2017-06-30,73.59,$5.60,13.15
2017-03-31,67.46,$5.63,11.99
2016-12-31,72.85,$6.14,11.87
2016-09-30,67.17,$5.74,11.71
2016-06-30,58.73,$5.70,10.3
2016-03-31,59.67,$5.83,10.23
2015-12-31,46.31,$4.35,10.64
2015-09-30,45.3,$4.00,11.32
2015-06-30,78.73,$3.30,23.88
2015-03-31,90.63,$2.77,32.68
2014-12-31,76.3,$3.58,21.34
2014-09-30,61.94,$3.15,19.65
2014-06-30,75.57,$3.37,22.44
2014-03-31,67.25,$3.85,17.45
2013-12-31,68.03,$2.85,23.86
2013-09-30,61.8,$1.45,42.49
2013-06-30,48.14,$1.40,34.36
2013-03-31,49.75,$0.54,91.73
2012-12-31,43.29,$2.35,18.42
2012-09-30,35.44,$2.80,12.68
2012-06-30,32.01,$2.87,11.17
2012-03-31,36.33,$3.58,10.15
2011-12-31,31.85,$3.03,10.51
2011-09-30,24.65,$2.57,9.58
2011-06-30,33.26,$2.21,15.07
2011-03-31,35.78,$1.69,21.16
2010-12-31,35.03,$1.74,20.08
2010-09-30,25.06,$1.22,20.49
2010-06-30,20.86,$1.23,16.95
2010-03-31,25.99,$1.98,13.11
2009-12-31,20.7,$2.44,8.5
