Veracyte Price to Free Cash Flow Ratio Historical Data,Veracyte Price to Free Cash Flow Ratio Historical Data,Veracyte Price to Free Cash Flow Ratio Historical Data,Veracyte Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.31,,63.61
2024-06-30,21.67,$0.54,40.17
2024-03-31,22.16,$0.37,60.38
2023-12-31,27.51,$0.47,58.33
2023-09-30,22.33,$0.40,55.67
2023-06-30,25.47,$0.32,79.57
2023-03-31,22.3,$0.10,221.01
2022-12-31,23.73,$-0.01,0.0
2022-09-30,16.6,$-0.03,0.0
2022-06-30,19.9,$-0.13,0.0
2022-03-31,27.57,$-0.04,0.0
2021-12-31,41.2,$-0.55,0.0
2021-09-30,46.45,$-0.62,0.0
2021-06-30,39.98,$-0.55,0.0
2021-03-31,53.75,$-0.78,0.0
2020-12-31,48.94,$-0.24,0.0
2020-09-30,32.49,$-0.25,0.0
2020-06-30,25.9,$-0.32,0.0
2020-03-31,24.31,$-0.21,0.0
2019-12-31,27.92,$-0.13,0.0
2019-09-30,24.0,$-0.20,0.0
2019-06-30,28.51,$-0.19,0.0
2019-03-31,25.02,$-0.24,0.0
2018-12-31,12.58,$-0.42,0.0
2018-09-30,9.55,$-0.54,0.0
2018-06-30,9.34,$-0.68,0.0
2018-03-31,5.56,$-0.72,0.0
2017-12-31,6.53,$-0.74,0.0
2017-09-30,8.77,$-0.69,0.0
2017-06-30,8.33,$-0.79,0.0
2017-03-31,9.18,$-0.95,0.0
2016-12-31,7.74,$-1.12,0.0
2016-09-30,7.61,$-1.32,0.0
2016-06-30,5.03,$-1.18,0.0
2016-03-31,5.4,$-1.27,0.0
2015-12-31,7.2,$-1.27,0.0
2015-09-30,4.69,$-1.36,0.0
2015-06-30,11.14,$-1.54,0.0
2015-03-31,7.28,$-1.46,0.0
2014-12-31,9.66,$-1.37,0.0
2014-09-30,9.75,$-5.88,0.0
