Iamgold Price to Free Cash Flow Ratio Historical Data,Iamgold Price to Free Cash Flow Ratio Historical Data,Iamgold Price to Free Cash Flow Ratio Historical Data,Iamgold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.11,,0.0
2024-06-30,3.75,$-0.94,0.0
2024-03-31,3.33,$-1.31,0.0
2023-12-31,2.53,$-1.54,0.0
2023-09-30,2.15,$-1.43,0.0
2023-06-30,2.63,$-1.20,0.0
2023-03-31,2.71,$-1.08,0.0
2022-12-31,2.58,$-0.70,0.0
2022-09-30,1.07,$-0.58,0.0
2022-06-30,1.61,$-0.54,0.0
2022-03-31,3.48,$-0.50,0.0
2021-12-31,3.13,$-0.50,0.0
2021-09-30,2.26,$-0.32,0.0
2021-06-30,2.95,$-0.11,0.0
2021-03-31,2.98,$0.16,18.07
2020-12-31,3.67,$0.12,31.61
2020-09-30,3.83,$0.49,7.75
2020-06-30,3.95,$0.40,9.8
2020-03-31,2.28,$0.32,7.13
2019-12-31,3.73,$0.24,15.64
2019-09-30,3.41,$-0.34,0.0
2019-06-30,3.38,$-0.45,0.0
2019-03-31,3.47,$-0.44,0.0
2018-12-31,3.68,$-0.23,0.0
2018-09-30,3.68,$-0.09,0.0
2018-06-30,5.81,$0.09,66.48
2018-03-31,5.19,$0.22,24.06
2017-12-31,5.83,$0.18,32.1
2017-09-30,6.1,$0.22,27.15
2017-06-30,5.16,$0.28,18.37
2017-03-31,4.0,$0.18,22.23
2016-12-31,3.85,$0.09,43.5
2016-09-30,4.05,$-0.17,0.0
2016-06-30,4.14,$-0.37,0.0
2016-03-31,2.21,$-0.41,0.0
2015-12-31,1.42,$-0.42,0.0
2015-09-30,1.63,$-0.13,0.0
2015-06-30,2.0,$0.02,84.75
2015-03-31,1.87,$0.06,31.97
2014-12-31,2.7,$-0.08,0.0
2014-09-30,2.76,$-0.35,0.0
2014-06-30,4.12,$-0.54,0.0
2014-03-31,3.52,$-0.91,0.0
2013-12-31,3.33,$-0.98,0.0
2013-09-30,4.75,$-1.00,0.0
2013-06-30,4.21,$-1.12,0.0
2013-03-31,7.0,$-1.04,0.0
2012-12-31,11.15,$-0.68,0.0
2012-09-30,15.21,$1.39,10.92
2012-06-30,11.35,$2.08,5.46
2012-03-31,12.65,$2.19,5.79
2011-12-31,15.09,$2.47,6.1
2011-09-30,18.68,$1.13,16.57
2011-06-30,17.72,$0.76,23.32
2011-03-31,20.69,$1.11,18.56
2010-12-31,16.72,$0.73,22.94
2010-09-30,16.49,$0.34,48.85
2010-06-30,16.46,$0.24,67.36
2010-03-31,12.31,$0.38,32.03
2009-12-31,14.56,$0.41,35.51
