Amicus Therapeutics Price to Free Cash Flow Ratio Historical Data,Amicus Therapeutics Price to Free Cash Flow Ratio Historical Data,Amicus Therapeutics Price to Free Cash Flow Ratio Historical Data,Amicus Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.97,,331.58
2024-06-30,9.92,$0.04,274.79
2023-12-31,14.19,$-0.26,0.0
2023-09-30,12.16,$-0.54,0.0
2023-06-30,12.56,$-0.45,0.0
2023-03-31,11.09,$-0.44,0.0
2022-12-31,12.21,$-0.58,0.0
2022-09-30,10.44,$-0.56,0.0
2022-06-30,10.74,$-0.61,0.0
2022-03-31,9.47,$-0.69,0.0
2021-12-31,11.55,$-0.76,0.0
2021-09-30,9.55,$-0.70,0.0
2021-06-30,9.64,$-0.77,0.0
2021-03-31,9.88,$-0.77,0.0
2020-12-31,23.09,$-0.91,0.0
2020-09-30,14.12,$-1.05,0.0
2020-06-30,15.08,$-1.08,0.0
2020-03-31,9.24,$-1.17,0.0
2019-12-31,9.74,$-1.12,0.0
2019-09-30,8.02,$-1.15,0.0
2019-06-30,12.48,$-1.67,0.0
2019-03-31,13.6,$-1.74,0.0
2018-12-31,9.58,$-1.65,0.0
2018-09-30,12.09,$-1.39,0.0
2018-06-30,15.62,$-1.21,0.0
2018-03-31,15.04,$-1.16,0.0
2024-03-31,11.78,$-1.17,0.0
2017-12-31,14.39,$-1.42,0.0
2017-09-30,15.08,$-1.18,0.0
2017-06-30,10.07,$-1.18,0.0
2017-03-31,7.13,$-1.13,0.0
2016-12-31,4.97,$-1.16,0.0
2016-09-30,7.4,$-1.27,0.0
2016-06-30,5.46,$-1.14,0.0
2016-03-31,8.45,$-1.11,0.0
2015-12-31,9.7,$-0.95,0.0
2015-09-30,14.01,$-0.79,0.0
2015-06-30,14.15,$-0.82,0.0
2015-03-31,10.88,$-0.76,0.0
2014-12-31,8.32,$-0.70,0.0
2014-09-30,5.95,$-0.61,0.0
2014-06-30,3.34,$-0.74,0.0
2014-03-31,2.07,$-0.78,0.0
2013-12-31,2.35,$-0.91,0.0
2013-09-30,2.32,$-0.98,0.0
2013-06-30,2.33,$-0.84,0.0
2013-03-31,3.17,$-0.83,0.0
2012-12-31,2.68,$-0.84,0.0
2012-09-30,5.2,$-1.03,0.0
2012-06-30,5.5,$-1.27,0.0
2012-03-31,5.28,$-1.38,0.0
2011-12-31,3.44,$-1.47,0.0
2011-09-30,3.84,$-0.26,0.0
2011-06-30,5.94,$-0.30,0.0
2011-03-31,7.09,$-0.35,0.0
2010-12-31,4.7,$-0.52,0.0
2010-09-30,3.92,$-1.79,0.0
2010-06-30,2.24,$-1.91,0.0
2010-03-31,3.19,$-2.04,0.0
2009-12-31,3.97,$-2.00,0.0
