Vital Energy Price to Free Cash Flow Ratio Historical Data,Vital Energy Price to Free Cash Flow Ratio Historical Data,Vital Energy Price to Free Cash Flow Ratio Historical Data,Vital Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.44,,0.74
2024-06-30,44.82,$36.91,1.21
2024-03-31,52.54,$10.55,4.98
2023-12-31,45.49,$8.85,5.14
2023-09-30,55.42,$10.69,5.18
2023-06-30,45.15,$-19.99,0.0
2023-03-31,45.54,$17.05,2.67
2022-12-31,51.42,$21.19,2.43
2022-09-30,62.85,$63.18,0.99
2022-06-30,68.94,$45.39,1.52
2022-03-31,79.14,$32.99,2.4
2021-12-31,60.13,$32.03,1.88
2021-09-30,81.07,$-9.07,0.0
2021-06-30,92.79,$12.39,7.49
2021-03-31,30.06,$7.05,4.27
2020-12-31,19.7,$2.57,7.68
2020-09-30,9.8,$-18.42,0.0
2020-06-30,13.86,$-21.72,0.0
2020-03-31,7.6,$-13.67,0.0
2019-12-31,57.4,$-16.14,0.0
2019-09-30,48.2,$-2.59,0.0
2019-06-30,58.0,$-11.57,0.0
2019-03-31,61.8,$-20.05,0.0
2018-12-31,72.4,$-17.92,0.0
2018-09-30,163.4,$-19.06,0.0
2018-03-31,174.2,$-14.82,0.0
2017-12-31,212.2,$-9.57,0.0
2017-09-30,258.6,$-3.38,0.0
2017-06-30,210.4,$2.54,82.72
2017-03-31,292.0,$4.13,70.69
2016-12-31,282.8,$-1.49,0.0
2016-09-30,258.0,$-5.27,0.0
2016-06-30,209.6,$-2.50,0.0
2016-03-31,158.6,$-22.06,0.0
2015-12-31,159.8,$4.42,36.14
2015-09-30,188.6,$-23.05,0.0
2015-06-30,251.6,$-61.22,0.0
2018-06-30,192.4,$-95.88,0.0
2015-03-31,260.8,$-137.31,0.0
2014-12-31,207.0,$-117.90,0.0
2014-09-30,448.2,$-94.72,0.0
2014-06-30,619.6,$8.81,70.34
2014-03-31,517.2,$16.40,31.53
2013-12-31,553.8,$5.68,97.58
2013-09-30,593.6,$-1.39,0.0
2013-06-30,411.2,$-76.58,0.0
2013-03-31,365.8,$-83.89,0.0
2012-12-31,363.2,$-88.00,0.0
2012-09-30,439.6,$-137.41,0.0
