Minerals Technologies Price to Free Cash Flow Ratio Historical Data,Minerals Technologies Price to Free Cash Flow Ratio Historical Data,Minerals Technologies Price to Free Cash Flow Ratio Historical Data,Minerals Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,80.62,,14.89
2024-06-30,83.05,$5.42,15.34
2024-03-31,75.18,$5.23,14.36
2023-12-31,71.11,$4.30,16.52
2023-09-30,54.51,$2.66,20.48
2023-06-30,57.38,$1.98,28.91
2023-03-31,60.04,$1.59,37.68
2022-12-31,60.29,$0.74,81.04
2022-09-30,49.01,$1.54,31.86
2022-06-30,60.8,$1.84,33.09
2022-03-31,65.52,$-1.31,0.0
2021-12-31,72.4,$1.34,53.9
2021-09-30,69.08,$1.14,60.56
2021-06-30,77.76,$1.90,40.84
2020-12-31,61.32,$5.10,12.02
2020-09-30,50.4,$6.97,7.23
2020-06-30,46.24,$6.77,6.83
2020-03-31,35.69,$6.60,5.41
2019-12-31,56.68,$7.60,7.45
2021-03-31,74.41,$4.02,18.53
2019-09-30,52.16,$4.45,11.71
2019-06-30,52.52,$4.30,12.23
2019-03-31,57.65,$3.46,16.65
2018-12-31,50.3,$3.59,14.02
2018-09-30,66.17,$3.15,21.03
2018-06-30,73.7,$3.54,20.84
2018-03-31,65.44,$4.14,15.82
2017-12-31,67.25,$3.72,18.1
2017-09-30,68.96,$4.06,16.99
2017-06-30,71.4,$3.88,18.39
2017-03-31,74.66,$3.99,18.7
2016-12-31,75.25,$4.66,16.14
2016-09-30,68.81,$5.06,13.6
2016-06-30,55.25,$5.51,10.02
2016-03-31,55.25,$6.28,8.8
2015-12-31,44.53,$5.40,8.25
2015-09-30,46.72,$6.60,7.08
2015-06-30,66.02,$6.51,10.13
2015-03-31,70.79,$4.12,17.19
2014-12-31,67.2,$5.17,13.01
2014-09-30,59.68,$2.93,20.36
2014-06-30,63.37,$1.80,35.28
2013-12-31,57.94,$2.60,22.29
2013-09-30,47.58,$4.05,11.74
2013-06-30,39.8,$3.49,11.41
2013-03-31,39.91,$3.93,10.15
2012-12-31,38.34,$4.20,9.13
2014-03-31,62.33,$2.26,27.55
2012-09-30,34.02,$2.85,11.93
2012-06-30,30.56,$2.46,12.45
2012-03-31,31.32,$2.39,13.1
2011-12-31,27.05,$2.25,12.0
2011-09-30,23.55,$2.09,11.24
2011-06-30,31.66,$2.25,14.06
2011-03-31,32.7,$2.52,12.96
2010-12-31,31.19,$2.89,10.8
2010-09-30,28.08,$3.31,8.49
2010-06-30,22.63,$3.76,6.01
2010-03-31,24.66,$3.76,6.56
2009-12-31,25.88,$3.61,7.17
