Canada Goose Holdings Price to Free Cash Flow Ratio Historical Data,Canada Goose Holdings Price to Free Cash Flow Ratio Historical Data,Canada Goose Holdings Price to Free Cash Flow Ratio Historical Data,Canada Goose Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.03,,8.9
2024-06-30,12.93,$1.24,10.43
2024-03-31,12.06,$0.80,15.11
2023-12-31,11.85,$0.16,72.43
2023-09-30,14.66,$0.14,104.34
2023-06-30,17.8,$0.45,39.16
2023-03-31,19.25,$0.51,37.8
2022-12-31,17.81,$0.30,59.97
2022-09-30,15.24,$0.48,31.7
2022-06-30,18.01,$0.55,32.47
2022-03-31,26.33,$0.86,30.76
2021-12-31,37.06,$1.39,26.73
2021-09-30,35.67,$1.03,34.52
2021-06-30,43.74,$1.12,39.02
2021-03-31,39.25,$1.82,21.57
2020-12-31,29.77,$1.38,21.64
2020-09-30,32.17,$0.86,37.27
2020-06-30,23.17,$0.87,26.73
2020-03-31,19.89,$0.12,171.02
2019-12-31,36.24,$0.27,133.97
2019-09-30,43.97,$0.18,249.26
2019-06-30,38.73,$0.18,219.56
2019-03-31,48.02,$0.29,163.44
2018-12-31,43.72,$0.58,75.69
2018-09-30,64.54,$0.19,338.79
2018-06-30,58.85,$0.18,324.78
2018-03-31,33.42,$0.70,47.72
2017-12-31,31.56,$0.66,48.15
