MUELLER WATER PRODUCTS Price to Free Cash Flow Ratio Historical Data,MUELLER WATER PRODUCTS Price to Free Cash Flow Ratio Historical Data,MUELLER WATER PRODUCTS Price to Free Cash Flow Ratio Historical Data,MUELLER WATER PRODUCTS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.54,,21.62
2024-06-30,17.86,$1.04,17.14
2024-03-31,15.98,$0.96,16.6
2023-12-31,14.24,$0.90,15.89
2023-09-30,12.48,$0.43,29.24
2023-06-30,15.9,$0.25,64.14
2023-03-31,13.6,$-0.09,0.0
2022-12-31,10.45,$-0.14,0.0
2022-09-30,9.92,$-0.02,0.0
2022-06-30,11.27,$0.00,0.0
2022-03-31,12.35,$0.23,53.44
2021-12-31,13.71,$0.53,25.72
2021-09-30,14.44,$0.59,24.27
2021-06-30,13.63,$0.78,17.55
2021-03-31,13.08,$0.92,14.28
2020-12-31,11.61,$0.75,15.49
2020-09-30,9.7,$0.46,21.12
2020-06-30,8.76,$0.44,19.8
2020-03-31,7.4,$0.17,42.83
2019-12-31,11.01,$-0.08,0.0
2019-09-30,10.29,$0.05,199.33
2019-06-30,8.94,$-0.01,0.0
2019-03-31,9.09,$0.19,47.1
2018-12-31,8.2,$0.49,16.86
2018-09-30,10.33,$0.53,19.35
2018-06-30,10.47,$0.41,25.24
2018-03-31,9.67,$0.27,35.32
2017-12-31,11.09,$0.28,39.96
2017-09-30,11.3,$0.12,92.74
2017-06-30,10.27,$0.30,33.69
2017-03-31,10.36,$0.43,24.23
2016-12-31,11.63,$0.44,26.24
2016-09-30,10.93,$0.51,21.45
2016-06-30,9.92,$0.46,21.57
2016-03-31,8.56,$0.43,20.09
2015-12-31,7.43,$0.33,22.6
2015-09-30,6.61,$0.22,30.46
2015-06-30,7.83,$0.47,16.6
2015-03-31,8.46,$0.46,18.28
2014-12-31,8.78,$0.59,14.92
2014-09-30,7.08,$0.71,9.96
2014-06-30,7.38,$0.60,12.39
2014-03-31,8.09,$0.54,15.05
2013-12-31,7.97,$0.45,17.56
2013-09-30,6.78,$0.49,13.92
2013-06-30,5.85,$0.38,15.56
2013-03-31,5.01,$0.10,48.4
2012-12-31,4.72,$0.21,22.03
2012-09-30,4.11,$0.29,14.08
2012-06-30,2.89,$0.32,8.94
2012-03-31,2.77,$0.41,6.73
2011-12-31,2.02,$0.24,8.42
2011-09-30,2.04,$0.19,10.53
2011-06-30,3.24,$0.31,10.55
2011-03-31,3.63,$0.12,30.03
2010-12-31,3.36,$0.42,8.02
2010-09-30,2.42,$0.85,2.86
2010-06-30,2.96,$0.84,3.52
2010-03-31,3.8,$1.54,2.46
2009-12-31,4.12,$1.25,3.3
