Nice Price to Free Cash Flow Ratio Historical Data,Nice Price to Free Cash Flow Ratio Historical Data,Nice Price to Free Cash Flow Ratio Historical Data,Nice Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,178.7,,18.44
2024-06-30,171.97,$9.69,17.75
2024-03-31,260.62,$8.11,32.13
2023-12-31,199.51,$7.20,27.7
2023-09-30,170.0,$7.08,24.0
2023-06-30,206.5,$6.64,31.09
2023-03-31,228.89,$5.92,38.64
2022-12-31,192.3,$5.99,32.13
2022-09-30,188.24,$5.17,36.39
2022-06-30,192.45,$5.29,36.4
2022-03-31,219.0,$6.20,35.3
2021-12-31,303.6,$5.90,51.47
2021-09-30,284.04,$6.77,41.98
2021-06-30,247.46,$6.79,36.43
2021-03-31,217.97,$6.52,33.44
2020-12-31,283.54,$6.32,44.84
2020-09-30,227.03,$4.78,47.46
2020-06-30,189.24,$4.94,38.33
2020-03-31,143.56,$4.31,33.29
2019-12-31,155.15,$4.83,32.14
2019-09-30,143.8,$5.45,26.38
2019-06-30,137.0,$5.13,26.68
2019-03-31,122.51,$5.88,20.82
2018-12-31,108.21,$5.26,20.58
2018-09-30,114.47,$4.99,22.95
2018-06-30,103.77,$5.33,19.47
2018-03-31,93.93,$5.36,17.51
2017-12-31,91.91,$5.26,17.47
2017-09-30,81.31,$4.58,17.75
2017-06-30,78.72,$3.67,21.47
2017-03-31,67.98,$3.27,20.77
2016-12-31,68.6,$3.15,21.76
2016-09-30,66.63,$3.12,21.37
2016-06-30,63.4,$3.35,18.92
2016-03-31,64.17,$3.80,16.89
2015-12-31,56.63,$3.70,15.3
2015-09-30,55.56,$4.25,13.07
2015-06-30,62.51,$3.99,15.65
2015-03-31,59.75,$3.50,17.06
2014-12-31,49.52,$2.73,18.11
2014-09-30,39.75,$2.38,16.68
2014-06-30,39.6,$1.54,25.73
2014-03-31,43.16,$1.69,25.52
2013-12-31,39.42,$1.68,23.4
2013-09-30,39.65,$1.62,24.42
2013-06-30,35.21,$2.03,17.36
2013-03-31,35.0,$1.60,21.81
2012-12-31,31.82,$1.76,18.12
2012-09-30,31.57,$1.97,16.06
2012-06-30,34.78,$2.12,16.42
2012-03-31,37.35,$2.40,15.55
2011-12-31,32.74,$2.18,15.04
2011-09-30,28.84,$2.01,14.36
2011-06-30,34.55,$2.25,15.39
2011-03-31,35.1,$2.45,14.35
2010-12-31,33.16,$2.08,15.96
2010-09-30,29.73,$1.85,16.09
2010-06-30,24.22,$1.77,13.65
2010-03-31,30.17,$1.69,17.9
2009-12-31,29.5,$1.73,17.06
