Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data,Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data,Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data,Bank Of New York Mellon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,68.22,,45.56
2024-06-30,59.45,$1.50,39.7
2024-03-31,56.78,$0.27,207.75
2023-12-31,50.9,$6.08,8.38
2023-09-30,41.3,$12.12,3.41
2023-06-30,42.71,$10.48,4.07
2023-03-31,43.21,$16.74,2.58
2022-12-31,42.97,$18.17,2.36
2022-09-30,36.03,$14.65,2.46
2022-06-30,38.68,$13.16,2.94
2021-12-31,53.13,$2.03,26.21
2021-09-30,47.15,$-0.95,0.0
2021-06-30,46.28,$3.38,13.68
2021-03-31,42.45,$0.94,45.01
2020-12-31,37.8,$12.00,3.15
2022-03-31,45.66,$9.49,4.81
2020-09-30,30.32,$2.78,10.91
2020-06-30,33.84,$7.22,4.68
2020-03-31,29.24,$-2.14,0.0
2019-12-31,43.41,$-1.22,0.0
2019-09-30,38.73,$4.51,8.58
2019-06-30,37.58,$0.53,70.59
2019-03-31,42.68,$4.71,9.05
2018-12-31,39.63,$4.97,7.98
2018-09-30,42.67,$3.03,14.08
2018-06-30,44.89,$6.87,6.53
2018-03-31,42.71,$3.81,11.22
2017-12-31,44.45,$3.37,13.2
2017-09-30,43.56,$6.50,6.7
2017-06-30,41.72,$1.72,24.21
2017-03-31,38.47,$2.25,17.07
2016-12-31,38.43,$5.21,7.37
2016-09-30,32.2,$1.04,30.99
2016-06-30,31.22,$2.17,14.41
2016-03-31,29.47,$4.94,5.97
2015-12-31,32.83,$3.22,10.21
2015-09-30,31.06,$4.12,7.53
2015-06-30,33.17,$4.11,8.07
2015-03-31,31.67,$4.68,6.77
2014-12-31,31.78,$3.79,8.39
2014-09-30,30.2,$2.18,13.87
2014-06-30,29.1,$1.72,16.9
2014-03-31,27.27,$0.29,94.19
2013-12-31,26.87,$-1.09,0.0
2013-09-30,23.11,$-0.23,0.0
2013-06-30,21.37,$-0.30,0.0
2013-03-31,21.21,$-1.62,0.0
2012-12-31,19.38,$0.84,22.94
2012-09-30,16.97,$3.04,5.57
2012-06-30,16.36,$0.88,18.5
2012-03-31,17.89,$1.09,16.44
2011-12-31,14.67,$1.31,11.18
2011-09-30,13.61,$-0.21,0.0
2011-06-30,18.66,$3.80,4.91
2011-03-31,21.66,$0.44,49.7
2010-12-31,21.84,$1.23,17.81
2010-09-30,18.83,$2.18,8.64
2010-06-30,17.73,$0.30,59.08
2009-12-31,19.97,$2.88,6.93
2009-09-30,20.63,$2.83,7.29
