Middleby Price to Free Cash Flow Ratio Historical Data,Middleby Price to Free Cash Flow Ratio Historical Data,Middleby Price to Free Cash Flow Ratio Historical Data,Middleby Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,139.59,,10.73
2024-06-30,122.61,$13.01,9.42
2024-03-31,160.79,$11.17,14.4
2023-12-31,147.17,$10.05,14.64
2023-09-30,128.0,$8.18,15.65
2023-06-30,147.83,$5.73,25.78
2023-03-31,146.61,$6.58,22.28
2022-12-31,133.9,$4.83,27.74
2022-09-30,128.17,$3.35,38.23
2022-06-30,125.36,$5.00,25.05
2022-03-31,163.94,$5.26,31.16
2021-12-31,196.76,$6.76,29.1
2021-09-30,170.51,$9.44,18.07
2021-06-30,173.26,$9.19,18.85
2021-03-31,165.75,$8.71,19.04
2020-12-31,128.92,$9.14,14.1
2020-09-30,89.71,$7.79,11.51
2020-06-30,78.94,$7.26,10.87
2020-03-31,56.88,$6.89,8.26
2019-12-31,109.52,$5.94,18.43
2019-09-30,116.9,$5.56,21.04
2019-06-30,135.7,$5.22,26.0
2019-03-31,130.03,$5.95,21.87
2018-12-31,102.73,$5.99,17.16
2018-09-30,129.35,$5.50,23.53
2018-06-30,104.42,$5.66,18.43
2018-03-31,123.79,$4.49,27.58
2017-12-31,134.95,$4.66,28.97
2017-09-30,128.17,$5.09,25.19
2017-06-30,121.51,$4.47,27.2
2017-03-31,136.45,$5.27,25.87
2016-12-31,128.81,$4.72,27.31
2016-09-30,123.62,$4.10,30.12
2016-06-30,115.25,$3.73,30.88
2016-03-31,106.77,$3.80,28.11
2015-12-31,107.87,$3.99,27.05
2015-09-30,105.19,$3.80,27.68
2015-06-30,112.23,$4.63,24.24
2015-03-31,102.65,$4.49,22.84
2014-12-31,99.1,$3.89,25.49
2014-09-30,88.13,$3.77,23.4
2014-06-30,82.72,$3.02,27.41
2014-03-31,88.07,$2.00,44.09
2013-12-31,79.91,$2.47,32.39
2013-09-30,69.64,$2.04,34.18
2013-06-30,56.7,$1.69,33.47
2013-03-31,50.72,$2.21,22.96
2012-12-31,42.74,$2.20,19.41
2012-09-30,38.55,$2.69,14.32
2012-06-30,33.2,$2.65,12.55
2012-03-31,33.73,$2.57,13.11
2011-12-31,31.35,$2.20,14.22
2011-09-30,23.49,$1.66,14.13
2011-06-30,31.35,$1.66,18.88
2011-03-31,31.04,$1.42,21.8
2010-12-31,28.14,$1.72,16.33
2010-09-30,21.13,$1.57,13.43
2010-06-30,17.73,$1.47,12.04
2010-03-31,19.2,$1.65,11.6
2009-12-31,16.34,$1.71,9.58
