LendingClub Price to Free Cash Flow Ratio Historical Data,LendingClub Price to Free Cash Flow Ratio Historical Data,LendingClub Price to Free Cash Flow Ratio Historical Data,LendingClub Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.92,,0.0
2024-06-30,8.46,$-27.12,0.0
2024-03-31,8.79,$-19.70,0.0
2023-12-31,8.74,$-11.03,0.0
2023-09-30,6.1,$-3.17,0.0
2023-06-30,9.75,$1.01,9.69
2023-03-31,7.21,$3.68,1.96
2022-12-31,8.8,$2.94,2.99
2022-09-30,11.05,$3.84,2.87
2022-06-30,11.69,$3.69,3.17
2022-03-31,15.78,$2.82,5.6
2021-12-31,24.18,$2.01,12.02
2021-09-30,28.24,$1.22,23.11
2021-06-30,18.13,$6.19,2.93
2021-03-31,16.52,$6.98,2.37
2020-12-31,10.56,$4.96,2.13
2020-09-30,4.71,$3.23,1.46
2020-06-30,4.55,$-4.95,0.0
2020-03-31,7.85,$-8.06,0.0
2019-12-31,12.62,$-3.68,0.0
2019-09-30,13.08,$-6.93,0.0
2019-06-30,16.4,$-5.15,0.0
2019-03-31,15.45,$-6.45,0.0
2018-12-31,13.15,$-8.19,0.0
2018-09-30,19.4,$-8.76,0.0
2018-06-30,18.95,$-9.76,0.0
2018-03-31,17.5,$-7.24,0.0
2017-12-31,20.65,$-7.56,0.0
2017-09-30,30.45,$-2.40,0.0
2017-06-30,27.55,$-0.91,0.0
2017-03-31,27.45,$-0.97,0.0
2016-12-31,26.25,$-0.66,0.0
2016-09-30,30.9,$-0.47,0.0
2016-06-30,21.5,$0.03,811.32
2016-03-31,41.5,$0.46,89.98
2015-12-31,55.25,$0.47,117.18
2015-09-30,66.15,$2.28,28.97
