Abbott Laboratories Price to Free Cash Flow Ratio Historical Data,Abbott Laboratories Price to Free Cash Flow Ratio Historical Data,Abbott Laboratories Price to Free Cash Flow Ratio Historical Data,Abbott Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,113.27,,35.05
2024-06-30,103.36,$3.23,31.98
2024-03-31,112.49,$2.82,39.96
2023-12-31,108.41,$2.89,37.48
2023-09-30,94.85,$2.56,37.05
2023-06-30,106.27,$3.12,34.07
2023-03-31,98.22,$3.88,25.34
2022-12-31,106.01,$4.42,23.96
2022-09-30,93.0,$4.82,19.28
2022-06-30,103.97,$4.77,21.81
2022-03-31,112.82,$4.57,24.71
2021-12-31,133.66,$4.83,27.65
2021-09-30,111.76,$5.21,21.45
2021-06-30,109.26,$4.83,22.62
2021-03-31,112.53,$4.26,26.44
2020-12-31,102.39,$3.20,31.95
2020-09-30,101.44,$2.57,39.43
2020-06-30,84.9,$2.56,33.14
2020-03-31,72.98,$2.51,29.04
2019-12-31,79.99,$2.53,31.67
2019-09-30,76.75,$2.15,35.77
2019-06-30,76.85,$2.31,33.27
2019-03-31,72.75,$2.51,28.96
2018-12-31,65.52,$2.77,23.64
2018-09-30,66.18,$2.78,23.79
2018-06-30,54.78,$2.74,19.98
2018-03-31,53.56,$2.83,18.9
2017-12-31,50.77,$2.54,20.02
2017-09-30,47.24,$2.36,20.02
2017-06-30,42.8,$1.98,21.58
2017-03-31,38.87,$1.80,21.54
2016-12-31,33.4,$1.40,23.79
2016-09-30,36.54,$1.22,29.99
2016-06-30,33.76,$1.13,30.0
2016-03-31,35.71,$1.16,30.8
2015-12-31,38.09,$1.23,30.91
2015-09-30,33.92,$1.47,23.14
2015-06-30,41.19,$1.55,26.54
2015-03-31,38.68,$1.50,25.87
2014-12-31,37.39,$1.70,21.97
2014-09-30,34.36,$1.92,17.88
2014-06-30,33.61,$1.47,22.82
2014-03-31,31.46,$1.32,23.84
2013-12-31,31.13,$1.38,22.49
2013-09-30,26.85,$1.25,21.4
2013-06-30,28.1,$2.96,9.49
2013-03-31,28.35,$3.73,7.61
2012-12-31,25.16,$4.72,5.33
2012-09-30,26.24,$4.71,5.57
2012-06-30,24.58,$4.50,5.47
2012-03-31,23.28,$4.82,4.83
2011-12-31,21.27,$4.74,4.48
2011-09-30,19.26,$5.35,3.6
2011-06-30,19.73,$5.20,3.8
2011-03-31,18.3,$5.18,3.53
2010-12-31,17.8,$4.96,3.59
2010-09-30,19.33,$4.68,4.13
2010-06-30,17.24,$4.91,3.51
2010-03-31,19.33,$4.51,4.29
2009-12-31,19.74,$3.98,4.96
