Cheniere Energy Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,182.44,,12.15
2024-06-30,174.42,$15.01,11.62
2024-03-31,160.46,$17.47,9.18
2023-12-31,169.38,$25.96,6.53
2023-09-30,164.25,$31.14,5.27
2023-06-30,150.43,$34.32,4.38
2023-03-31,155.19,$35.58,4.36
2022-12-31,147.27,$34.31,4.29
2022-09-30,162.56,$25.76,6.31
2022-06-30,130.05,$18.46,7.04
2022-03-31,135.22,$12.57,10.76
2021-12-31,98.62,$6.20,15.91
2021-09-30,94.68,$5.77,16.41
2021-06-30,84.09,$1.50,56.2
2021-03-31,69.81,$1.05,66.53
2020-12-31,58.19,$-2.27,0.0
2020-09-30,44.85,$-1.56,0.0
2020-06-30,46.84,$-1.65,0.0
2020-03-31,32.47,$1.99,16.34
2019-12-31,59.2,$0.09,660.72
2019-09-30,61.13,$-3.67,0.0
2019-06-30,66.35,$-1.62,0.0
2018-12-31,57.38,$-6.67,0.0
2018-09-30,67.36,$-13.12,0.0
2018-06-30,63.19,$-11.29,0.0
2018-03-31,51.81,$-11.29,0.0
2017-12-31,52.19,$-13.41,0.0
2019-03-31,66.27,$-9.46,0.0
2017-09-30,43.66,$-12.98,0.0
2017-06-30,47.22,$-17.29,0.0
2017-03-31,45.82,$-19.53,0.0
2016-12-31,40.16,$-20.80,0.0
2016-09-30,42.27,$-22.28,0.0
2016-06-30,36.4,$-23.33,0.0
2016-03-31,32.79,$-35.27,0.0
2015-12-31,36.11,$-32.33,0.0
2015-09-30,46.82,$-30.99,0.0
2015-06-30,67.14,$-27.95,0.0
2015-03-31,75.03,$-12.91,0.0
2014-12-31,68.25,$-13.78,0.0
2014-09-30,77.58,$-12.59,0.0
2014-06-30,69.51,$-20.47,0.0
2014-03-31,53.66,$-15.80,0.0
2013-12-31,41.8,$-14.47,0.0
2013-09-30,33.1,$-11.29,0.0
2013-06-30,26.91,$-0.14,0.0
2013-03-31,27.14,$-2.29,0.0
2012-12-31,18.21,$-0.59,0.0
2012-09-30,15.05,$-0.57,0.0
2012-06-30,14.29,$-0.70,0.0
2012-03-31,14.52,$-0.35,0.0
2011-12-31,8.42,$-0.56,0.0
2011-09-30,4.99,$-0.59,0.0
2011-06-30,8.88,$-0.54,0.0
2011-03-31,9.03,$-1.11,0.0
2010-12-31,5.35,$-0.30,0.0
2010-09-30,2.44,$-0.32,0.0
2010-06-30,2.73,$-1.53,0.0
2010-03-31,3.0,$-1.36,0.0
2009-12-31,2.35,$-1.90,0.0
