Fomento Economico Mexicano S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Fomento Economico Mexicano S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Fomento Economico Mexicano S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Fomento Economico Mexicano S.A.B De C.V Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,95.98,,inf
2024-06-30,105.66,0,0.0
2023-12-31,126.79,$2.60,48.68
2023-09-30,105.26,$6.15,17.11
2023-06-30,106.89,$6.15,17.38
2023-03-31,90.83,$6.15,14.77
2022-12-31,74.54,$6.15,12.12
2022-09-30,59.18,$7.61,7.78
2022-06-30,63.65,$7.61,8.36
2022-03-31,77.23,$7.61,10.15
2021-12-31,72.44,$7.61,9.52
2021-09-30,80.28,$11.22,7.15
2021-06-30,78.23,$11.22,6.97
2021-03-31,69.23,$11.22,6.17
2020-12-31,69.63,$11.22,6.21
2020-09-30,50.92,$5.83,8.73
2020-06-30,55.54,$5.83,9.52
2020-03-31,54.2,$5.83,9.29
2019-12-31,84.65,$5.83,14.51
2019-09-30,81.34,$4.02,20.23
2019-06-30,85.93,$4.02,21.37
2019-03-31,81.96,$4.02,20.38
2018-12-31,76.43,$4.02,19.0
2018-09-30,87.21,$2.93,29.78
2018-06-30,77.36,$2.93,26.41
2018-03-31,79.95,$2.93,27.3
2017-12-31,82.1,$2.93,28.03
2017-09-30,82.88,$4.28,19.35
2017-06-30,85.32,$4.28,19.91
2017-03-31,76.23,$4.28,17.79
2016-12-31,65.63,$4.28,15.32
2016-09-30,78.72,$3.23,24.39
2016-06-30,79.11,$3.23,24.51
2016-03-31,81.75,$-0.71,0.0
2015-12-31,78.39,$3.23,24.29
2015-09-30,75.26,0,0.0
2015-06-30,75.12,0,0.0
2014-12-31,73.66,$3.94,18.7
2014-09-30,77.02,$2.69,28.62
2014-06-30,78.36,$2.69,29.12
2014-03-31,78.02,$2.69,28.99
2013-12-31,81.89,$2.69,30.43
2013-09-30,79.25,$3.48,22.78
2013-06-30,84.23,$3.48,24.22
2013-03-31,91.99,$3.48,26.45
2012-12-31,81.62,$3.48,23.46
2012-09-30,73.97,$4.14,17.85
2012-06-30,71.78,$4.14,17.32
2012-03-31,65.6,$4.14,15.83
2011-12-31,55.58,$4.14,13.41
2011-09-30,51.25,0,0.0
2011-06-30,52.57,0,0.0
2011-03-31,45.99,$-0.43,0.0
2010-12-31,43.81,0,0.0
2010-09-30,39.51,0,0.0
2010-06-30,33.61,0,0.0
2010-03-31,36.77,$0.43,85.46
2009-12-31,37.04,0,0.0
