Tecnoglass Price to Free Cash Flow Ratio Historical Data,Tecnoglass Price to Free Cash Flow Ratio Historical Data,Tecnoglass Price to Free Cash Flow Ratio Historical Data,Tecnoglass Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,77.12,,39.09
2024-06-30,50.1,$1.97,25.4
2024-03-31,51.83,$1.21,43.0
2023-12-31,45.44,$1.28,35.47
2023-09-30,32.7,$1.21,27.04
2023-06-30,51.12,$0.82,62.21
2023-03-31,41.45,$1.68,24.63
2022-12-31,30.33,$1.48,20.48
2022-09-30,20.64,$1.06,19.56
2022-06-30,17.19,$1.28,13.48
2022-03-31,24.64,$1.28,19.32
2021-12-31,25.5,$1.38,18.46
2021-09-30,21.11,$1.62,13.04
2021-06-30,20.76,$1.65,12.58
2021-03-31,11.64,$1.76,6.61
2020-12-31,6.68,$1.15,5.8
2020-09-30,5.1,$1.05,4.84
2020-06-30,5.19,$0.53,9.71
2020-03-31,3.68,$0.12,31.71
2019-12-31,7.8,$0.02,487.56
2019-09-30,7.56,$-0.28,0.0
2019-06-30,5.92,$-0.30,0.0
2019-03-31,6.51,$-0.39,0.0
2018-12-31,7.1,$-0.46,0.0
2018-09-30,8.51,$-0.29,0.0
2018-06-30,7.52,$-0.37,0.0
2018-03-31,8.05,$-0.10,0.0
2017-12-31,6.17,$-0.47,0.0
2017-09-30,5.54,$-0.47,0.0
2017-03-31,8.64,$-0.22,0.0
2016-12-31,9.64,$-0.78,0.0
2016-09-30,9.38,$-0.11,0.0
2016-06-30,8.72,$-0.22,0.0
2016-03-31,9.76,$-0.61,0.0
2015-12-31,10.6,$-0.30,0.0
2015-09-30,10.58,$0.13,79.37
2015-06-30,9.74,$-0.16,0.0
2015-03-31,7.17,$-1.12,0.0
2014-12-31,7.83,$-0.40,0.0
2014-09-30,8.44,$-1.36,0.0
2014-06-30,9.32,$-0.92,0.0
2017-06-30,7.52,$0.32,23.27
2014-03-31,8.14,$-0.79,0.0
2013-12-31,6.59,$-0.45,0.0
2013-09-30,7.77,$-0.60,0.0
