Dorman Products Price to Free Cash Flow Ratio Historical Data,Dorman Products Price to Free Cash Flow Ratio Historical Data,Dorman Products Price to Free Cash Flow Ratio Historical Data,Dorman Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,118.14,,19.69
2024-06-30,91.48,$6.00,15.25
2024-03-31,96.39,$6.05,15.94
2023-12-31,83.41,$5.23,15.96
2023-09-30,75.76,$3.63,20.89
2023-06-30,78.83,$1.65,47.67
2023-03-31,86.26,$0.11,768.12
2022-12-31,80.87,$0.12,670.56
2022-09-30,82.12,$0.74,111.33
2022-06-30,109.71,$2.29,47.87
2022-03-31,95.03,$2.56,37.07
2021-12-31,113.01,$2.52,44.87
2021-09-30,94.67,$2.05,46.28
2021-06-30,103.67,$-1.45,0.0
2021-03-31,102.64,$4.21,24.37
2020-12-31,86.82,$4.22,20.59
2020-09-30,90.38,$5.07,17.84
2020-06-30,67.07,$7.99,8.4
2020-03-31,55.27,$2.25,24.61
2019-12-31,75.72,$2.01,37.65
2019-09-30,79.54,$1.22,65.41
2019-06-30,87.14,$1.13,77.45
2019-03-31,88.09,$1.39,63.43
2018-12-31,90.02,$1.57,57.48
2018-09-30,76.92,$2.24,34.39
2018-06-30,68.31,$2.20,31.02
2018-03-31,66.21,$1.51,43.72
2017-12-31,61.14,$2.05,29.83
2017-09-30,71.62,$3.00,23.89
2017-06-30,82.77,$3.05,27.17
2017-03-31,82.13,$3.35,24.52
2016-12-31,73.06,$2.93,24.91
2016-09-30,63.9,$2.00,31.94
2016-06-30,57.2,$2.07,27.58
2016-03-31,54.42,$2.00,27.2
2015-12-31,47.47,$1.98,23.97
2015-09-30,50.89,$1.30,39.26
2015-06-30,47.66,$1.40,34.0
2015-03-31,49.75,$1.22,40.91
2014-12-31,48.27,$0.82,58.67
2014-09-30,40.06,$1.03,38.79
2014-06-30,49.32,$0.71,69.45
2014-03-31,59.06,$0.91,64.95
2013-12-31,56.04,$1.01,55.63
2013-09-30,49.55,$1.11,44.63
2013-06-30,45.63,$0.85,53.58
2013-03-31,37.21,$0.80,46.81
2012-12-31,35.34,$0.84,41.83
2012-09-30,30.15,$0.51,59.58
2012-06-30,24.01,$0.69,34.76
2012-03-31,24.21,$0.70,34.61
2011-12-31,17.67,$0.55,32.2
2011-09-30,15.81,$0.75,21.13
2011-06-30,18.94,$0.42,44.69
2011-03-31,20.14,$0.50,40.18
2010-12-31,17.34,$0.53,32.61
2010-09-30,14.75,$0.52,28.21
2010-06-30,9.73,$0.80,12.21
2010-03-31,9.09,$0.51,17.91
2009-12-31,7.5,$0.55,13.66
