Carter's Price to Free Cash Flow Ratio Historical Data,Carter's Price to Free Cash Flow Ratio Historical Data,Carter's Price to Free Cash Flow Ratio Historical Data,Carter's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,66.94,,6.87
2024-06-30,61.26,$9.75,6.29
2024-03-31,82.71,$11.01,7.51
2023-12-31,72.45,$12.82,5.65
2023-09-30,66.16,$12.11,5.46
2023-06-30,68.72,$8.99,7.64
2023-03-31,67.27,$6.25,10.76
2022-12-31,69.08,$1.24,55.91
2022-09-30,60.05,$-0.53,0.0
2022-06-30,63.94,$1.91,33.46
2022-03-31,82.65,$2.29,36.01
2021-12-31,90.2,$5.37,16.8
2021-09-30,86.14,$5.54,15.56
2021-06-30,91.05,$8.37,10.88
2021-03-31,78.17,$12.14,6.44
2020-12-31,82.69,$12.80,6.46
2020-09-30,76.11,$13.45,5.66
2020-06-30,70.94,$10.62,6.68
2020-03-31,57.78,$6.18,9.35
2019-12-31,95.46,$7.30,13.07
2019-09-30,79.24,$7.47,10.61
2019-06-30,84.28,$6.53,12.9
2019-03-31,86.59,$5.84,14.84
2018-12-31,69.75,$6.28,11.11
2018-09-30,83.85,$3.47,24.2
2018-06-30,91.79,$5.42,16.93
2018-03-31,87.8,$5.10,17.22
2017-12-31,98.71,$5.40,18.27
2017-09-30,82.67,$6.04,13.69
2017-06-30,74.15,$6.37,11.64
2017-03-31,74.53,$4.94,15.08
2016-12-31,71.4,$5.58,12.8
2016-09-30,71.41,$3.50,20.41
2016-06-30,87.38,$5.06,17.26
2016-03-31,86.2,$2.48,34.69
2015-12-31,72.59,$5.02,14.47
2015-09-30,73.71,$1.85,39.87
2015-06-30,86.26,$-0.41,0.0
2014-12-31,70.52,$3.41,20.66
2014-09-30,62.47,$-1.90,0.0
2014-06-30,55.42,$-0.05,0.0
2014-03-31,62.27,$-0.70,0.0
2013-12-31,57.43,$-1.05,0.0
2015-03-31,74.87,$0.11,663.16
2013-09-30,60.57,$0.98,61.81
2013-06-30,58.98,$2.41,24.52
2013-03-31,45.5,$2.55,17.86
2012-12-31,44.22,$3.31,13.38
2012-09-30,42.78,$3.76,11.39
2012-06-30,41.79,$3.26,12.81
2012-03-31,39.54,$1.69,23.38
2011-12-31,31.63,$0.61,51.74
2011-09-30,24.27,$-0.78,0.0
2011-06-30,24.44,$-0.89,0.0
2011-03-31,22.75,$0.57,40.12
2010-12-31,23.45,$0.79,29.87
2010-09-30,20.92,$1.67,12.51
2010-06-30,20.86,$2.45,8.5
2010-03-31,23.96,$2.57,9.32
2009-12-31,20.86,$2.73,7.64
