Reynolds Consumer Products Price to Free Cash Flow Ratio Historical Data,Reynolds Consumer Products Price to Free Cash Flow Ratio Historical Data,Reynolds Consumer Products Price to Free Cash Flow Ratio Historical Data,Reynolds Consumer Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.46,,12.33
2024-06-30,27.77,$2.47,11.24
2024-03-31,28.12,$2.59,10.86
2023-12-31,26.21,$2.57,10.19
2023-09-30,24.82,$1.93,12.87
2023-06-30,27.14,$0.96,28.21
2023-03-31,26.2,$0.79,33.13
2022-12-31,28.33,$0.43,65.35
2022-09-30,24.4,$0.86,28.44
2022-06-30,25.38,$1.28,19.8
2022-03-31,27.08,$0.83,32.66
2021-12-31,28.76,$0.81,35.7
2021-09-30,24.85,$0.67,37.36
2021-06-30,27.37,$0.83,32.89
2021-03-31,26.66,$2.26,11.77
2020-12-31,26.68,$0.86,31.0
