Taboola Price to Free Cash Flow Ratio Historical Data,Taboola Price to Free Cash Flow Ratio Historical Data,Taboola Price to Free Cash Flow Ratio Historical Data,Taboola Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.59,,14.04
2024-06-30,3.44,$0.26,13.45
2024-03-31,4.44,$0.19,22.78
2023-12-31,4.33,$0.15,28.71
2023-09-30,3.79,$0.19,20.01
2023-06-30,3.11,$0.15,20.6
2023-03-31,2.72,$0.10,26.72
2022-12-31,3.08,$0.07,42.19
2022-09-30,1.81,$0.15,12.47
2022-06-30,2.53,$0.31,8.28
2022-03-31,5.16,$0.37,13.92
2021-12-31,7.78,$0.17,45.47
2021-09-30,8.46,$0.05,186.34
