HP Price to Free Cash Flow Ratio Historical Data,HP Price to Free Cash Flow Ratio Historical Data,HP Price to Free Cash Flow Ratio Historical Data,HP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,36.18,,11.64
2024-04-30,27.88,$3.11,8.97
2024-01-31,28.24,$3.15,8.96
2023-10-31,25.66,$2.98,8.62
2023-07-31,31.71,$2.78,11.39
2023-04-30,28.46,$2.21,12.9
2023-01-31,27.65,$2.05,13.5
2022-10-31,25.97,$3.52,7.37
2022-07-31,31.11,$4.02,7.74
2022-04-30,33.91,$4.61,7.35
2022-01-31,33.76,$5.35,6.31
2021-10-31,27.7,$4.78,5.8
2021-07-31,26.19,$3.87,6.77
2021-04-30,30.74,$4.11,7.48
2021-01-31,21.8,$2.58,8.46
2020-10-31,15.95,$2.63,6.06
2020-07-31,15.47,$1.62,9.53
2020-04-30,13.52,$1.99,6.8
2020-01-31,18.42,$2.93,6.29
2019-10-31,14.87,$2.61,5.69
2019-07-31,17.87,$2.88,6.21
2019-04-30,16.8,$2.30,7.29
2019-01-31,18.56,$2.39,7.78
2018-10-31,20.19,$2.54,7.94
2018-07-31,19.2,$2.34,8.2
2018-04-30,17.77,$2.48,7.18
2018-01-31,19.17,$2.12,9.03
2017-10-31,17.6,$1.96,8.96
2017-07-31,15.49,$1.98,7.83
2017-04-30,15.15,$1.54,9.84
2017-01-31,12.02,$2.17,5.53
2016-10-31,11.48,$1.62,7.08
2016-07-31,11.01,$2.58,4.27
2016-04-30,9.55,$2.47,3.87
2016-01-31,7.47,$2.03,3.69
2015-10-31,9.33,$2.11,4.42
2015-07-31,10.49,$1.81,5.81
2015-04-30,11.27,$2.79,4.04
2015-01-31,12.29,$3.57,3.44
2014-10-31,12.16,$4.88,2.49
2014-07-31,12.01,$4.96,2.42
2014-04-30,11.1,$4.55,2.44
2014-01-31,9.69,$2.12,4.57
2013-10-31,8.1,$2.62,3.09
2013-07-31,8.48,$2.63,3.22
2013-04-30,6.76,$2.36,2.86
2012-10-31,4.48,$3.79,1.18
2012-07-31,5.85,$5.25,1.11
2012-04-30,7.9,$5.25,1.51
2012-01-31,8.88,$5.68,1.56
2011-10-31,8.41,$6.85,1.23
2013-01-31,5.39,$4.83,1.11
2011-07-31,11.05,$4.70,2.35
2011-04-30,12.64,$4.46,2.83
2011-01-31,14.28,$4.05,3.53
2010-10-31,13.11,$3.54,3.71
2010-07-31,14.33,$3.68,3.9
2010-04-30,16.15,$3.92,4.12
2010-01-31,14.6,$4.69,3.11
2009-10-31,14.7,$4.18,3.52
