Origin Bancorp Price to Free Cash Flow Ratio Historical Data,Origin Bancorp Price to Free Cash Flow Ratio Historical Data,Origin Bancorp Price to Free Cash Flow Ratio Historical Data,Origin Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.94,,14.95
2024-06-30,31.57,$2.27,13.9
2024-03-31,30.95,$3.38,9.16
2023-12-31,35.06,$3.33,10.51
2023-09-30,28.33,$4.71,6.01
2023-06-30,28.61,$5.14,5.56
2023-03-31,31.22,$5.25,5.95
2022-12-31,35.5,$5.13,6.93
2022-09-30,37.08,$4.17,8.9
2022-06-30,37.28,$4.65,8.01
2022-03-31,40.47,$4.66,8.69
2021-12-31,40.95,$7.05,5.81
2021-09-30,40.29,$5.51,7.32
2021-06-30,40.26,$5.01,8.03
2021-03-31,40.1,$2.43,16.48
2020-12-31,26.17,$-0.27,0.0
2020-09-30,20.05,$1.12,17.97
2020-06-30,20.57,$0.54,38.09
2020-03-31,18.84,$1.85,10.18
2019-12-31,35.11,$2.13,16.48
2019-09-30,31.22,$1.96,15.97
2019-06-30,30.54,$2.84,10.74
2019-03-31,31.48,$3.82,8.23
