Ingevity Price to Free Cash Flow Ratio Historical Data,Ingevity Price to Free Cash Flow Ratio Historical Data,Ingevity Price to Free Cash Flow Ratio Historical Data,Ingevity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.5,,18.11
2024-06-30,43.71,$1.96,22.3
2024-03-31,47.7,$2.36,20.25
2023-12-31,47.22,$2.61,18.08
2023-09-30,47.61,$3.45,13.8
2023-06-30,58.16,$3.14,18.55
2023-03-31,71.52,$3.99,17.92
2022-12-31,70.44,$4.44,15.86
2022-09-30,60.63,$4.11,14.75
2022-06-30,63.14,$4.33,14.58
2022-03-31,64.07,$3.81,16.82
2021-12-31,71.7,$4.73,15.16
2021-09-30,71.37,$6.74,10.59
2021-06-30,81.36,$6.59,12.35
2021-03-31,75.53,$6.37,11.85
2020-12-31,75.73,$6.51,11.64
2020-09-30,49.44,$4.80,10.31
2020-06-30,52.57,$5.29,9.94
2020-03-31,35.2,$5.64,6.24
2019-12-31,87.38,$3.81,22.92
2019-09-30,84.84,$3.73,22.77
2019-06-30,105.17,$3.08,34.11
2019-03-31,105.61,$2.94,35.91
2018-12-31,83.69,$3.71,22.55
2018-09-30,101.88,$3.15,32.38
2018-06-30,80.86,$3.09,26.18
2018-03-31,73.69,$2.88,25.62
2017-12-31,70.47,$2.86,24.63
2017-09-30,62.47,$3.10,20.15
2017-06-30,57.4,$2.08,27.59
2017-03-31,60.85,$1.59,38.38
