Rexford Industrial Realty Price to Free Cash Flow Ratio Historical Data,Rexford Industrial Realty Price to Free Cash Flow Ratio Historical Data,Rexford Industrial Realty Price to Free Cash Flow Ratio Historical Data,Rexford Industrial Realty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.93,,79.49
2024-06-30,44.22,$0.57,78.24
2024-03-31,49.42,$0.66,74.97
2023-12-31,54.66,$0.79,68.97
2023-09-30,47.77,$0.84,56.78
2023-06-30,50.16,$1.03,48.9
2023-03-31,56.88,$1.11,51.17
2022-12-31,51.76,$1.13,45.95
2022-09-30,48.98,$1.13,43.26
2022-06-30,53.91,$1.19,45.47
2022-03-31,69.45,$1.22,56.94
2021-12-31,75.21,$0.92,81.68
2021-09-30,52.46,$0.92,57.24
2021-06-30,52.43,$0.93,56.31
2021-03-31,46.21,$0.69,66.94
2020-12-31,44.81,$0.86,52.1
2020-09-30,41.57,$0.92,45.16
2020-06-30,37.46,$0.81,46.22
2020-03-31,36.89,$0.87,42.58
2019-12-31,40.87,$0.86,47.27
2019-09-30,39.23,$0.75,52.63
2019-06-30,35.83,$0.66,54.3
2019-03-31,31.64,$0.65,48.58
2018-12-31,25.9,$0.51,50.47
2018-09-30,27.94,$0.51,54.27
2018-06-30,27.3,$0.49,55.46
2018-03-31,24.91,$0.42,60.0
2017-12-31,25.09,$0.48,52.32
2017-09-30,24.51,$0.49,50.38
2017-06-30,23.38,$0.46,50.91
2017-03-31,19.09,$0.44,43.14
2016-12-31,19.53,$0.39,50.17
2016-09-30,19.16,$0.35,54.02
2016-06-30,17.55,$0.33,53.22
2016-03-31,15.01,$0.38,39.87
2015-12-31,13.43,$0.34,39.58
2015-09-30,11.23,$0.34,32.9
2015-06-30,11.75,$0.28,42.37
2015-03-31,12.64,$0.37,33.9
2014-12-31,12.46,$0.33,37.77
2014-09-30,10.9,$0.44,24.86
2014-06-30,11.12,$0.62,18.07
