BBVA Banco Frances S.A Price to Free Cash Flow Ratio Historical Data,BBVA Banco Frances S.A Price to Free Cash Flow Ratio Historical Data,BBVA Banco Frances S.A Price to Free Cash Flow Ratio Historical Data,BBVA Banco Frances S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.32,,1.07
2024-03-31,7.23,$10.61,0.68
2023-12-31,4.64,$10.40,0.45
2023-09-30,3.54,$7.26,0.49
2023-06-30,5.22,$7.86,0.67
2023-03-31,3.34,$6.54,0.51
2022-12-31,3.32,$3.64,0.91
2022-09-30,2.53,$1.82,1.39
2022-06-30,1.88,$1.47,1.28
2022-03-31,2.8,$2.09,1.34
2021-12-31,2.48,$5.35,0.46
2021-09-30,3.06,$4.74,0.65
2021-06-30,2.56,$5.44,0.47
2021-03-31,2.15,$2.74,0.78
2020-12-31,2.53,$-0.92,0.0
2020-09-30,1.98,$4.75,0.42
2020-06-30,2.95,$1.79,1.65
2020-03-31,2.06,$3.22,0.64
2019-12-31,4.39,$3.60,1.22
2019-09-30,3.41,$2.75,1.24
2019-06-30,8.91,$6.67,1.34
2019-03-31,7.26,$8.25,0.88
2018-12-31,8.65,$8.32,1.04
2018-09-30,8.91,$4.28,2.08
2018-06-30,9.44,$-1.42,0.0
2018-03-31,17.22,$-3.90,0.0
2017-12-31,19.02,$-4.96,0.0
2017-09-30,15.39,$0.50,30.92
2017-06-30,14.06,$5.53,2.54
2017-03-31,13.68,$9.31,1.47
2016-12-31,12.95,$9.72,1.33
2016-09-30,14.78,$11.44,1.29
2016-06-30,15.07,$9.81,1.54
2016-03-31,14.59,$9.31,1.57
2015-12-31,13.84,$11.07,1.25
2015-09-30,11.25,$2.23,5.04
2015-06-30,11.52,$3.04,3.78
2015-03-31,14.81,$3.11,4.76
2014-12-31,10.0,$0.82,12.2
2014-09-30,9.37,$5.78,1.62
2014-06-30,8.43,$5.16,1.63
2014-03-31,6.06,$4.85,1.25
2013-12-31,5.04,$6.25,0.81
2013-09-30,4.8,$4.18,1.15
2013-06-30,2.69,$4.34,0.62
2013-03-31,3.0,$3.41,0.88
2012-12-31,3.64,$4.41,0.83
2012-09-30,2.97,$-0.77,0.0
2012-06-30,2.41,$-1.07,0.0
2012-03-31,4.37,$5.47,0.8
2011-12-31,3.53,$5.51,0.64
2011-09-30,3.98,$6.53,0.61
2011-06-30,7.46,$5.45,1.37
2011-03-31,7.21,$0.84,8.61
2010-12-31,7.63,$0.98,7.77
2010-09-30,6.51,$1.49,4.38
2010-06-30,4.16,$1.31,3.18
2010-03-31,4.35,$-1.04,0.0
2009-12-31,3.7,$2.36,1.57
