Peloton Interactive Price to Free Cash Flow Ratio Historical Data,Peloton Interactive Price to Free Cash Flow Ratio Historical Data,Peloton Interactive Price to Free Cash Flow Ratio Historical Data,Peloton Interactive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.27,,0.0
2024-06-30,3.38,$-0.23,0.0
2024-03-31,4.29,$-0.53,0.0
2023-12-31,6.09,$-0.69,0.0
2023-09-30,5.05,$-0.86,0.0
2023-06-30,7.69,$-1.36,0.0
2023-03-31,11.34,$-2.62,0.0
2022-12-31,7.94,$-4.53,0.0
2022-09-30,6.93,$-5.92,0.0
2022-06-30,9.18,$-7.36,0.0
2022-03-31,26.42,$-8.18,0.0
2021-12-31,35.76,$-6.89,0.0
2021-09-30,87.05,$-4.84,0.0
2021-06-30,124.02,$-1.94,0.0
2021-03-31,112.44,$1.58,71.22
2020-12-31,151.72,$2.17,69.83
2020-09-30,99.24,$4.29,23.12
2020-06-30,57.77,$1.00,58.05
