Collegium Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Collegium Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Collegium Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Collegium Pharmaceutical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.93,,5.74
2024-06-30,32.2,$6.78,4.75
2024-03-31,38.82,$7.24,5.36
2023-12-31,30.78,$6.56,4.69
2023-09-30,22.35,$6.75,3.31
2023-06-30,21.49,$6.16,3.49
2023-03-31,23.99,$5.18,4.63
2022-12-31,23.2,$3.62,6.4
2022-09-30,16.02,$2.31,6.93
2022-06-30,17.72,$1.72,10.31
2022-03-31,20.36,$1.23,16.54
2021-12-31,18.68,$2.48,7.55
2021-09-30,19.74,$2.41,8.18
2021-06-30,23.64,$2.69,8.79
2021-03-31,23.7,$3.22,7.36
2020-12-31,20.03,$2.51,7.96
2020-09-30,20.82,$2.36,8.82
2020-06-30,17.5,$1.59,10.97
2020-03-31,16.33,$0.78,20.91
2019-12-31,20.58,$0.64,32.26
2019-09-30,11.48,$1.43,8.01
2019-06-30,13.15,$2.47,5.32
2019-03-31,15.14,$3.73,4.06
2018-12-31,17.17,$4.97,3.45
2018-09-30,14.74,$3.32,4.43
2018-06-30,23.85,$1.72,13.84
2018-03-31,25.55,$-0.55,0.0
2017-12-31,18.46,$-2.25,0.0
2017-09-30,10.49,$-2.73,0.0
2017-06-30,12.51,$-3.14,0.0
2017-03-31,10.06,$-3.42,0.0
2016-12-31,15.57,$-3.11,0.0
2016-09-30,19.26,$-3.21,0.0
2016-06-30,11.85,$-2.48,0.0
2016-03-31,18.15,$-2.12,0.0
