Magnite Price to Free Cash Flow Ratio Historical Data,Magnite Price to Free Cash Flow Ratio Historical Data,Magnite Price to Free Cash Flow Ratio Historical Data,Magnite Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.24,,10.54
2024-06-30,13.29,$1.16,11.45
2024-03-31,10.75,$1.08,9.95
2023-12-31,9.34,$1.30,7.21
2023-09-30,7.54,$1.28,5.88
2023-06-30,13.65,$0.93,14.61
2023-03-31,9.26,$0.75,12.41
2022-12-31,10.59,$1.11,9.5
2022-09-30,6.57,$1.01,6.53
2022-06-30,8.88,$1.00,8.89
2022-03-31,13.21,$0.84,15.76
2021-12-31,17.5,$0.72,24.47
2021-09-30,28.0,$0.24,118.49
2021-06-30,33.84,$0.00,0.0
2021-03-31,41.61,$-0.21,0.0
2020-12-31,30.71,$-0.35,0.0
2020-09-30,6.95,$-0.05,0.0
2020-06-30,6.67,$-0.03,0.0
2020-03-31,5.55,$0.16,34.49
2019-12-31,8.16,$0.23,35.49
2019-09-30,8.71,$-0.20,0.0
2019-06-30,6.36,$-0.32,0.0
2019-03-31,6.08,$-0.71,0.0
2018-12-31,3.73,$-0.85,0.0
2018-09-30,3.6,$-0.84,0.0
2018-06-30,2.85,$-1.00,0.0
2018-03-31,1.8,$-0.59,0.0
2017-12-31,1.87,$-0.39,0.0
2017-09-30,3.89,$-0.28,0.0
2017-06-30,5.14,$0.12,41.72
2017-03-31,5.89,$0.38,15.54
2016-12-31,7.42,$0.57,12.96
2016-09-30,8.28,$1.52,5.43
2016-06-30,13.65,$1.10,12.45
2016-03-31,18.28,$0.73,25.21
2015-12-31,16.45,$1.09,15.12
2015-09-30,14.53,$0.02,793.99
2015-06-30,14.96,$0.32,46.53
2015-03-31,17.92,$0.05,357.68
