Lam Research Price to Free Cash Flow Ratio Historical Data,Lam Research Price to Free Cash Flow Ratio Historical Data,Lam Research Price to Free Cash Flow Ratio Historical Data,Lam Research Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,821.01,,24.03
2024-03-31,969.79,$34.17,28.38
2023-12-31,780.18,$36.31,21.49
2023-09-30,622.61,$33.35,18.67
2023-06-30,636.64,$34.43,18.49
2023-03-31,523.55,$29.03,18.03
2022-12-31,413.64,$21.55,19.19
2022-09-30,358.9,$23.56,15.24
2022-06-30,416.18,$18.16,22.92
2022-03-31,523.29,$25.06,20.88
2021-12-31,697.83,$28.05,24.87
2021-09-30,551.06,$20.60,26.75
2021-06-30,628.49,$22.29,28.2
2021-03-31,573.76,$18.26,31.42
2020-12-31,454.15,$14.14,32.13
2020-09-30,318.21,$-1.13,0.0
2020-06-30,309.07,$-0.14,0.0
2020-03-31,228.46,$0.43,531.19
2019-12-31,276.96,$0.45,614.38
2019-06-30,176.29,$17.96,9.81
2019-03-31,167.03,$23.40,7.14
2018-12-31,126.29,$20.58,6.14
2018-09-30,139.66,$22.29,6.27
2018-06-30,158.02,$18.53,8.53
2019-09-30,217.98,$12.52,17.41
2018-03-31,184.72,$13.53,13.65
2017-12-31,166.96,$10.45,15.98
2017-09-30,167.38,$12.14,13.79
2017-06-30,127.59,$10.19,12.52
2017-03-31,115.48,$8.92,12.95
2016-12-31,94.76,$7.69,12.32
2016-09-30,84.52,$7.27,11.63
2016-06-30,74.77,$7.16,10.44
2016-03-31,73.21,$5.90,12.4
2015-12-31,70.11,$6.01,11.66
2015-09-30,57.45,$5.05,11.38
2015-06-30,71.23,$3.32,21.48
2015-03-31,61.27,$3.92,15.62
2014-12-31,69.06,$4.48,15.42
2014-09-30,64.88,$4.57,14.2
2014-06-30,58.55,$4.17,14.04
2014-03-31,47.52,$2.95,16.08
2013-12-31,47.05,$1.96,23.96
2013-09-30,44.24,$0.24,182.42
2013-06-30,38.31,$0.46,83.01
2013-03-31,35.82,$0.75,47.69
2012-12-31,31.22,$1.51,20.7
2012-06-30,32.61,$3.15,10.35
2012-03-31,38.55,$7.68,5.02
2011-12-31,31.99,$7.83,4.09
2011-09-30,32.82,$8.24,3.98
2011-06-30,38.26,$8.87,4.31
2012-09-30,27.46,$5.85,4.69
2011-03-31,48.96,$5.92,8.27
2010-12-31,44.74,$5.06,8.84
2010-09-30,36.16,$4.37,8.27
2010-06-30,32.88,$2.46,13.37
2010-03-31,32.25,$0.75,43.07
2009-12-31,33.88,$-0.48,0.0
