Pediatrix Medical Price to Free Cash Flow Ratio Historical Data,Pediatrix Medical Price to Free Cash Flow Ratio Historical Data,Pediatrix Medical Price to Free Cash Flow Ratio Historical Data,Pediatrix Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.67,,10.34
2024-06-30,7.55,$1.22,6.16
2024-03-31,10.03,$1.01,9.95
2023-12-31,9.3,$1.27,7.35
2023-09-30,12.71,$1.58,8.02
2023-06-30,14.21,$1.64,8.66
2023-03-31,14.91,$1.55,9.65
2022-12-31,14.86,$1.63,9.11
2022-09-30,16.51,$1.05,15.65
2022-06-30,21.01,$0.73,28.73
2022-03-31,23.48,$0.65,36.2
2021-12-31,27.21,$0.81,33.74
2021-09-30,28.43,$0.07,394.31
2021-06-30,30.15,$1.45,20.77
2021-03-31,25.47,$2.83,9.0
2020-12-31,24.54,$2.07,11.87
2020-09-30,16.28,$3.88,4.2
2020-06-30,17.1,$3.85,4.44
2020-03-31,11.64,$2.96,3.94
2019-12-31,27.79,$4.06,6.84
2019-09-30,22.62,$4.24,5.34
2019-06-30,25.23,$3.77,6.7
2019-03-31,27.17,$3.82,7.11
2018-12-31,33.0,$3.24,10.19
2018-09-30,46.66,$3.67,12.71
2018-06-30,43.28,$4.24,10.2
2018-03-31,55.63,$4.27,13.02
2017-12-31,53.44,$5.22,10.24
2017-09-30,43.12,$4.35,9.92
2017-06-30,60.37,$4.31,14.02
2017-03-31,69.38,$4.45,15.58
2016-12-31,66.66,$4.34,15.34
2016-09-30,66.25,$4.08,16.25
2016-06-30,72.43,$3.83,18.9
2016-03-31,64.62,$3.79,17.06
2015-12-31,71.66,$3.64,19.71
2015-09-30,76.79,$4.34,17.68
2015-06-30,74.11,$4.14,17.92
2015-03-31,72.51,$3.97,18.26
2014-12-31,66.11,$4.05,16.32
2014-09-30,54.82,$3.68,14.91
2014-06-30,58.15,$3.65,15.93
2014-03-31,61.98,$3.55,17.48
2013-12-31,53.38,$3.86,13.83
2013-09-30,50.2,$3.52,14.25
2013-06-30,45.79,$3.31,13.82
2013-03-31,44.82,$3.25,13.78
2012-12-31,39.76,$3.12,12.73
2012-09-30,37.23,$3.00,12.4
2012-06-30,34.27,$2.65,12.92
2012-03-31,37.19,$2.46,15.14
2011-12-31,36.01,$2.45,14.68
2011-09-30,31.32,$2.43,12.91
2011-06-30,36.1,$2.54,14.21
2011-03-31,33.31,$2.53,13.19
2010-12-31,33.65,$2.40,14.01
2010-09-30,26.65,$2.28,11.69
2010-06-30,27.81,$2.31,12.05
2010-03-31,29.1,$2.24,12.98
2009-12-31,30.06,$2.44,12.34
