National Bank Holdings Price to Free Cash Flow Ratio Historical Data,National Bank Holdings Price to Free Cash Flow Ratio Historical Data,National Bank Holdings Price to Free Cash Flow Ratio Historical Data,National Bank Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.55,,14.75
2024-06-30,38.8,$3.02,12.84
2024-03-31,35.84,$4.72,7.59
2023-12-31,36.66,$3.41,10.74
2023-09-30,29.09,$3.32,8.77
2023-06-30,28.16,$3.86,7.3
2023-03-31,32.17,$3.90,8.24
2022-12-31,40.2,$6.19,6.5
2022-09-30,35.17,$6.43,5.47
2022-06-30,36.18,$5.20,6.95
2022-03-31,37.87,$7.32,5.18
2021-12-31,41.09,$5.94,6.91
2021-09-30,37.67,$6.68,5.64
2021-06-30,34.91,$4.79,7.29
2021-03-31,36.51,$-0.87,0.0
2020-12-31,29.98,$-0.34,0.0
2020-09-30,23.88,$1.14,20.96
2020-06-30,24.39,$0.69,35.18
2020-03-31,21.43,$1.98,10.8
2019-12-31,31.38,$1.05,29.95
2019-09-30,30.3,$-0.60,0.0
2019-06-30,31.98,$3.04,10.51
2019-03-31,29.15,$1.70,17.18
2018-12-31,26.92,$2.14,12.57
2018-09-30,32.84,$1.13,29.07
2018-06-30,33.54,$-0.43,0.0
2018-03-31,28.8,$1.43,20.1
2017-12-31,28.01,$1.90,14.78
2017-09-30,30.74,$0.20,150.84
2017-06-30,28.44,$0.16,181.38
2017-03-31,27.84,$0.46,60.95
2016-12-31,27.26,$-0.11,0.0
2016-09-30,19.92,$0.35,56.2
2016-06-30,17.32,$0.41,42.18
2016-03-31,17.3,$-0.68,0.0
2015-12-31,18.09,$-1.24,0.0
2015-09-30,17.34,$-0.99,0.0
2015-06-30,17.55,$-0.73,0.0
2015-03-31,15.81,$-0.15,0.0
2014-12-31,16.27,$-0.10,0.0
2014-09-30,15.98,$0.54,29.54
2014-06-30,16.63,$-0.18,0.0
2014-03-31,16.69,$-0.60,0.0
2013-12-31,17.76,$-0.64,0.0
2013-09-30,17.0,$-1.36,0.0
2013-06-30,16.27,$-3.81,0.0
