Ringcentral Price to Free Cash Flow Ratio Historical Data,Ringcentral Price to Free Cash Flow Ratio Historical Data,Ringcentral Price to Free Cash Flow Ratio Historical Data,Ringcentral Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.96,,8.83
2024-06-30,28.2,$3.73,7.55
2024-03-31,34.74,$3.33,10.45
2023-12-31,33.95,$3.41,9.95
2023-09-30,29.63,$2.61,11.36
2023-06-30,32.73,$2.07,15.84
2023-03-31,30.67,$1.60,19.11
2022-12-31,35.4,$1.10,32.15
2022-09-30,39.96,$1.23,32.54
2022-06-30,52.26,$1.28,40.84
2022-03-31,117.21,$1.07,109.51
2021-12-31,187.35,$0.87,216.19
2021-09-30,217.5,$0.31,705.94
2021-06-30,290.58,$-1.10,0.0
2021-03-31,297.88,$-1.10,0.0
2020-12-31,378.97,$-1.32,0.0
2020-09-30,274.61,$-1.27,0.0
2020-06-30,285.01,$0.06,4460.25
2020-03-31,211.91,$0.11,1868.69
2019-12-31,168.67,$0.25,682.32
2019-09-30,125.66,$0.59,212.48
2019-06-30,114.92,$0.54,213.53
2019-03-31,107.8,$0.48,224.12
2018-12-31,82.44,$0.42,195.12
2018-09-30,93.05,$0.36,257.54
2018-06-30,70.35,$0.27,264.27
2018-03-31,63.5,$0.22,284.75
2017-12-31,48.4,$0.19,259.1
2017-09-30,41.75,$0.14,291.35
2017-06-30,36.55,$0.14,252.59
2017-03-31,28.3,$0.18,161.35
2016-12-31,20.6,$0.18,113.0
2016-09-30,23.66,$0.13,176.57
2016-06-30,19.72,$0.05,413.42
2016-03-31,15.75,$-0.08,0.0
2015-12-31,23.58,$-0.17,0.0
2015-09-30,18.15,$-0.26,0.0
2015-06-30,18.49,$-0.23,0.0
2015-03-31,15.33,$-0.40,0.0
2014-12-31,14.92,$-0.44,0.0
2014-09-30,12.71,$-0.16,0.0
2014-06-30,15.13,$-1.36,0.0
