Glaukos Price to Free Cash Flow Ratio Historical Data,Glaukos Price to Free Cash Flow Ratio Historical Data,Glaukos Price to Free Cash Flow Ratio Historical Data,Glaukos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,129.25,,0.0
2024-06-30,118.35,$-1.63,0.0
2024-03-31,94.29,$-1.53,0.0
2023-12-31,79.49,$-1.61,0.0
2023-09-30,75.25,$-1.56,0.0
2023-06-30,71.21,$-2.01,0.0
2023-03-31,50.1,$-2.18,0.0
2022-12-31,43.68,$-1.33,0.0
2022-09-30,53.24,$-1.38,0.0
2022-06-30,45.42,$-0.52,0.0
2022-03-31,57.82,$-0.15,0.0
2021-12-31,44.44,$-0.50,0.0
2021-09-30,48.17,$0.00,0.0
2021-06-30,84.83,$-0.42,0.0
2021-03-31,83.93,$-0.64,0.0
2020-12-31,75.26,$-0.67,0.0
2020-09-30,49.52,$-0.99,0.0
2020-06-30,38.42,$-0.86,0.0
2020-03-31,30.86,$-0.43,0.0
2019-12-31,54.47,$-0.12,0.0
2019-09-30,62.51,$0.28,224.78
2019-06-30,75.4,$0.49,153.19
2019-03-31,78.37,$0.45,173.42
2018-12-31,56.17,$0.24,232.01
2018-09-30,64.9,$0.30,213.84
2018-06-30,40.64,$0.31,131.27
2018-03-31,30.83,$0.31,98.88
2017-12-31,25.65,$0.58,44.59
2017-09-30,33.0,$0.28,118.03
2017-06-30,41.47,$0.19,216.89
2017-03-31,51.3,$0.24,210.5
2016-12-31,34.3,$0.17,207.38
2016-09-30,37.74,$0.02,1859.11
2016-06-30,29.16,$0.41,71.86
2016-03-31,16.86,$-0.21,0.0
