CF Industries Holdings Price to Free Cash Flow Ratio Historical Data,CF Industries Holdings Price to Free Cash Flow Ratio Historical Data,CF Industries Holdings Price to Free Cash Flow Ratio Historical Data,CF Industries Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,83.09,,10.36
2024-06-30,73.66,$8.02,9.18
2024-03-31,82.14,$9.04,9.08
2023-12-31,77.97,$11.66,6.69
2023-09-30,83.68,$12.17,6.88
2023-06-30,67.4,$14.04,4.8
2023-03-31,69.96,$14.79,4.73
2022-12-31,81.85,$16.67,4.91
2022-09-30,92.12,$20.91,4.41
2022-06-30,81.74,$18.79,4.35
2022-03-31,97.89,$14.90,6.57
2021-12-31,66.95,$10.92,6.13
2021-09-30,52.55,$5.55,9.46
2021-06-30,48.14,$3.93,12.26
2021-03-31,42.23,$5.60,7.54
2020-12-31,35.78,$4.29,8.33
2020-09-30,28.11,$4.30,6.53
2020-06-30,25.54,$5.37,4.76
2020-03-31,24.39,$5.29,4.61
2019-12-31,42.48,$5.28,8.04
2019-09-30,43.5,$4.95,8.78
2019-06-30,41.3,$5.42,7.62
2019-03-31,35.88,$4.79,7.49
2018-12-31,37.93,$4.71,8.05
2018-09-30,47.14,$4.40,10.71
2018-06-30,38.21,$2.69,14.18
2018-03-31,32.23,$4.82,6.68
2017-12-31,36.07,$5.04,7.16
2017-09-30,29.56,$3.28,9.03
2017-06-30,23.28,$1.55,15.04
2017-03-31,24.17,$-4.22,0.0
2016-12-31,25.7,$-6.78,0.0
2016-09-30,19.66,$-7.50,0.0
2016-06-30,19.2,$-7.06,0.0
2016-03-31,24.72,$-7.07,0.0
2015-12-31,31.85,$-5.29,0.0
2015-09-30,34.82,$-4.15,0.0
2015-06-30,49.6,$-3.21,0.0
2015-03-31,43.57,$-2.41,0.0
2014-12-31,41.65,$-1.47,0.0
2014-09-30,42.43,$-0.94,0.0
2014-06-30,36.33,$1.15,31.63
2014-03-31,39.21,$1.84,21.35
2013-12-31,34.91,$2.21,15.76
2013-09-30,31.44,$3.22,9.77
2013-06-30,25.52,$3.61,7.08
2013-03-31,28.27,$5.83,4.85
2012-12-31,30.11,$5.78,5.21
2012-09-30,32.87,$5.50,5.97
2012-06-30,28.6,$5.75,4.97
2012-03-31,26.9,$5.20,5.17
2011-12-31,21.3,$5.39,3.95
2011-09-30,18.09,$6.90,2.62
2011-06-30,20.72,$5.45,3.8
2011-03-31,19.99,$4.63,4.32
2010-12-31,19.74,$2.91,6.77
2010-09-30,13.93,$1.51,9.22
2010-06-30,9.25,$0.22,41.62
2010-03-31,13.27,$1.04,12.73
2009-12-31,13.2,$1.85,7.13
