NetApp Price to Free Cash Flow Ratio Historical Data,NetApp Price to Free Cash Flow Ratio Historical Data,NetApp Price to Free Cash Flow Ratio Historical Data,NetApp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,120.72,,18.12
2024-07-31,126.98,$6.66,19.06
2024-04-30,101.8,$7.18,14.17
2024-01-31,86.44,$5.44,15.89
2023-10-31,71.73,$4.78,15.0
2023-07-31,76.38,$4.92,15.53
2023-04-30,61.17,$3.95,15.5
2023-01-31,63.91,$4.57,14.0
2022-10-31,66.3,$3.97,16.7
2022-07-31,67.77,$4.43,15.29
2022-04-30,69.06,$4.30,16.06
2022-01-31,81.05,$6.74,12.03
2021-10-31,83.21,$7.35,11.32
2021-07-31,73.76,$6.78,10.87
2021-04-30,68.8,$6.82,10.08
2021-01-31,60.8,$4.38,13.88
2020-10-31,39.87,$4.63,8.62
2020-07-31,39.83,$4.16,9.58
2020-04-30,38.91,$4.43,8.79
2020-01-31,46.91,$4.30,10.92
2019-10-31,48.71,$4.26,11.43
2019-07-31,50.52,$4.68,10.79
2019-04-30,62.44,$4.51,13.85
2019-01-31,54.35,$4.65,11.69
2018-10-31,66.43,$5.23,12.7
2018-07-31,65.3,$5.79,11.27
2018-04-30,55.8,$5.59,9.98
2018-01-31,51.38,$5.26,9.77
2017-10-31,36.98,$3.67,10.09
2017-07-31,35.99,$2.98,12.1
2017-04-30,32.86,$2.89,11.39
2017-01-31,31.46,$3.10,10.13
2016-10-31,27.71,$3.48,7.97
2016-07-31,21.4,$3.47,6.17
2016-04-30,19.05,$3.08,6.18
2016-01-31,17.56,$2.79,6.29
2015-10-31,27.02,$2.54,10.66
2015-07-31,24.62,$3.22,7.64
2015-04-30,28.48,$3.41,8.36
2015-01-31,29.56,$3.21,9.22
2014-10-31,33.33,$3.21,10.4
2014-07-31,30.13,$0.78,38.54
2014-04-30,27.5,$1.35,20.37
2014-01-31,32.56,$1.17,27.89
2013-10-31,29.74,$1.10,27.07
2013-04-30,26.53,$2.94,9.02
2013-01-31,27.38,$4.03,6.8
2012-10-31,20.46,$3.93,5.2
2012-07-31,24.85,$3.68,6.75
2012-04-30,29.53,$3.99,7.39
2013-07-31,31.39,$2.21,14.2
2012-01-31,28.7,$2.64,10.89
2011-10-31,31.15,$3.60,8.65
2011-07-31,36.14,$3.20,11.28
2011-04-30,39.63,$4.11,9.64
2011-01-31,41.62,$3.46,12.05
2010-07-31,32.17,$2.70,11.9
2010-04-30,26.37,$2.38,11.09
2010-01-31,22.15,$1.76,12.56
2009-10-31,20.57,$0.89,23.06
2009-07-31,17.08,$1.83,9.32
