Distribution Solutions Price to Free Cash Flow Ratio Historical Data,Distribution Solutions Price to Free Cash Flow Ratio Historical Data,Distribution Solutions Price to Free Cash Flow Ratio Historical Data,Distribution Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.1,,20.81
2024-06-30,30.0,$1.93,15.57
2024-03-31,35.48,$2.58,13.75
2023-12-31,31.56,$2.53,12.48
2023-09-30,26.0,$2.28,11.41
2023-06-30,26.03,$1.09,23.86
2022-12-31,18.43,$-0.64,0.0
2022-09-30,14.09,$-0.73,0.0
2022-06-30,25.7,$-0.87,0.0
2022-03-31,19.27,$-0.26,0.0
2021-12-31,27.38,$0.73,37.36
2023-03-31,22.73,$0.67,33.76
2021-09-30,25.01,$1.12,22.38
2021-06-30,26.76,$1.43,18.75
2021-03-31,25.93,$1.93,13.46
2020-12-31,25.46,$1.65,15.4
2020-09-30,20.52,$1.03,19.9
2020-06-30,16.13,$0.93,17.26
2020-03-31,13.36,$0.56,23.83
2019-12-31,26.05,$0.38,68.14
2019-09-30,19.37,$0.83,23.44
2019-06-30,18.37,$0.77,23.97
2019-03-31,15.68,$0.55,28.37
2018-12-31,15.8,$0.96,16.49
2018-09-30,16.95,$0.67,25.16
2018-06-30,12.18,$0.62,19.61
2018-03-31,12.63,$0.68,18.45
2017-12-31,12.38,$0.66,18.64
2017-09-30,12.6,$0.64,19.77
2017-06-30,11.08,$0.35,32.08
2017-03-31,11.23,$-0.28,0.0
2016-12-31,11.9,$0.07,164.82
2016-09-30,8.87,$0.09,95.43
2016-06-30,9.93,$0.16,60.51
2015-12-31,11.68,$0.41,28.81
2015-09-30,10.83,$0.75,14.45
2015-06-30,11.74,$0.48,24.25
2015-03-31,11.61,$0.40,28.9
2014-12-31,13.36,$1.13,11.79
2016-03-31,9.79,$0.20,49.82
2014-09-30,11.15,$0.32,34.63
2014-06-30,8.15,$0.52,15.77
2014-03-31,8.04,$-0.36,0.0
2013-12-31,6.13,$-0.14,0.0
2013-09-30,5.16,$0.08,65.42
2013-06-30,6.42,$-0.47,0.0
2013-03-31,8.79,$-0.26,0.0
2012-12-31,4.95,$-0.84,0.0
2012-09-30,3.46,$-2.08,0.0
2012-06-30,4.63,$-1.99,0.0
2012-03-31,7.46,$-2.13,0.0
2011-12-31,7.56,$-2.00,0.0
2011-09-30,6.57,$-0.60,0.0
2011-06-30,9.48,$-0.31,0.0
2011-03-31,10.97,$-0.46,0.0
2010-12-31,11.86,$0.19,61.27
2010-09-30,7.24,$-0.48,0.0
2010-06-30,8.01,$-0.76,0.0
2010-03-31,7.23,$0.56,12.98
2009-12-31,8.25,$0.59,14.04
