National HealthCare Price to Free Cash Flow Ratio Historical Data,National HealthCare Price to Free Cash Flow Ratio Historical Data,National HealthCare Price to Free Cash Flow Ratio Historical Data,National HealthCare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,124.08,,21.49
2024-06-30,107.88,$5.77,18.69
2024-03-31,93.53,$5.19,18.03
2023-12-31,90.88,$5.42,16.77
2023-09-30,62.53,$4.73,13.23
2023-06-30,59.87,$2.53,23.63
2023-03-31,55.7,$1.71,32.65
2022-12-31,56.51,$-1.12,0.0
2022-09-30,59.6,$-1.41,0.0
2022-06-30,65.21,$-1.28,0.0
2022-03-31,64.99,$-1.40,0.0
2021-12-31,62.39,$1.49,41.83
2021-09-30,63.75,$2.36,26.98
2021-06-30,63.21,$4.73,13.36
2021-03-31,69.94,$12.26,5.7
2020-12-31,59.22,$11.80,5.02
2020-09-30,55.13,$12.02,4.59
2020-06-30,55.66,$11.98,4.65
2020-03-31,62.42,$4.50,13.88
2019-12-31,74.7,$4.80,15.57
2019-09-30,70.31,$4.53,15.52
2019-06-30,69.27,$3.92,17.67
2019-03-31,64.35,$4.47,14.39
2018-12-31,66.1,$4.51,14.67
2018-09-30,63.1,$4.58,13.77
2018-06-30,58.53,$4.76,12.3
2018-03-31,49.24,$4.16,11.82
2017-12-31,49.92,$4.08,12.23
2017-09-30,50.86,$3.99,12.76
2017-06-30,56.58,$2.74,20.66
2017-03-31,57.13,$1.47,38.86
2016-12-31,60.35,$1.86,32.45
2016-09-30,52.24,$0.97,53.78
2016-06-30,50.9,$1.20,42.28
2016-03-31,48.63,$1.61,30.21
2015-12-31,47.85,$1.72,27.81
2015-09-30,46.93,$2.21,21.2
2015-06-30,49.76,$2.92,17.02
2015-03-31,48.48,$2.43,19.99
2014-12-31,47.57,$2.01,23.62
2014-09-30,41.8,$1.65,25.31
2014-06-30,42.13,$2.19,19.22
2014-03-31,41.49,$2.63,15.76
2013-12-31,39.87,$3.53,11.3
2013-09-30,34.76,$3.12,11.13
2013-06-30,34.91,$2.38,14.68
2013-03-31,33.16,$3.82,8.68
2012-12-31,33.89,$2.55,13.28
2012-09-30,33.46,$4.21,7.95
2012-06-30,31.51,$4.39,7.18
2012-03-31,31.53,$3.31,9.51
2011-12-31,28.8,$3.59,8.02
2011-09-30,22.04,$2.49,8.87
2011-06-30,33.51,$2.70,12.43
2011-03-31,31.24,$3.07,10.16
2010-12-31,30.91,$2.27,13.61
2010-09-30,24.61,$3.38,7.28
2010-06-30,22.7,$3.18,7.13
2010-03-31,23.13,$2.95,7.85
2009-12-31,23.43,$3.05,7.67
