Blue Owl Capital Price to Free Cash Flow Ratio Historical Data,Blue Owl Capital Price to Free Cash Flow Ratio Historical Data,Blue Owl Capital Price to Free Cash Flow Ratio Historical Data,Blue Owl Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.45,,10.76
2024-06-30,17.75,$2.18,8.14
2024-03-31,18.86,$1.68,11.25
2023-12-31,14.9,$1.84,8.08
2023-09-30,12.96,$2.50,5.19
2023-06-30,11.65,$1.61,7.21
2023-03-31,11.08,$1.60,6.93
2022-12-31,10.6,$1.53,6.93
2022-09-30,9.23,$0.13,70.57
2022-06-30,9.94,$0.35,28.35
2022-03-31,12.45,$0.39,31.96
2021-12-31,14.53,$0.21,69.11
2021-09-30,15.07,$0.37,40.7
