Credicorp Price to Free Cash Flow Ratio Historical Data,Credicorp Price to Free Cash Flow Ratio Historical Data,Credicorp Price to Free Cash Flow Ratio Historical Data,Credicorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,186.61,,14.59
2024-06-30,158.71,$12.79,12.41
2024-03-31,157.74,$12.79,12.33
2023-12-31,139.59,$12.79,10.91
2023-09-30,119.14,0,0.0
2023-06-30,137.46,$-12.53,0.0
2023-03-31,117.11,0,0.0
2022-09-30,108.62,0,0.0
2022-06-30,106.07,0,0.0
2021-12-31,104.84,$12.53,8.36
2021-09-30,95.28,$45.32,2.1
2021-06-30,102.84,$33.19,3.1
2021-03-31,115.97,$45.32,2.56
2020-12-31,139.28,$71.02,1.96
2020-09-30,105.29,$25.70,4.1
2020-03-31,114.09,$37.83,3.02
2019-12-31,169.95,$25.70,6.61
2019-09-30,164.35,$-0.80,0.0
2019-06-30,180.49,$-0.80,0.0
2019-03-31,189.19,$-0.80,0.0
2018-12-31,174.78,$-0.80,0.0
2018-09-30,175.89,$35.93,4.9
2018-06-30,177.5,$35.93,4.94
2018-03-31,175.7,$35.93,4.89
2017-12-31,160.53,$35.93,4.47
2020-06-30,113.51,0,0.0
2017-09-30,154.94,$-5.66,0.0
2017-06-30,135.57,$-5.66,0.0
2017-03-31,120.46,$-5.66,0.0
2016-12-31,116.45,$-5.66,0.0
2016-09-30,112.29,0,0.0
2016-06-30,113.84,$-7.17,0.0
2016-03-31,95.07,0,0.0
2015-09-30,77.19,0,0.0
2015-06-30,100.81,0,0.0
2013-12-31,93.67,$7.17,13.07
2013-09-30,90.66,$43.20,2.1
2013-06-30,90.3,$43.20,2.09
2013-03-31,115.25,$43.20,2.67
2012-12-31,101.72,$43.20,2.35
2012-09-30,86.95,$-22.64,0.0
2012-06-30,87.38,$-22.64,0.0
2012-03-31,89.9,$-22.64,0.0
2011-12-31,74.66,$-22.64,0.0
2011-09-30,62.88,$39.50,1.59
2011-06-30,58.72,$39.50,1.49
2011-03-31,70.13,$39.50,1.78
2010-12-31,79.47,$39.50,2.01
2010-09-30,76.12,$-6.66,0.0
2010-06-30,60.74,$-6.66,0.0
2010-03-31,57.81,$-6.66,0.0
2009-12-31,50.5,$-6.66,0.0
