Cassava Sciences Price to Free Cash Flow Ratio Historical Data,Cassava Sciences Price to Free Cash Flow Ratio Historical Data,Cassava Sciences Price to Free Cash Flow Ratio Historical Data,Cassava Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.58,,0.0
2024-06-30,12.35,$-2.45,0.0
2024-03-31,20.29,$-2.40,0.0
2023-12-31,22.51,$-2.48,0.0
2023-09-30,16.64,$-2.51,0.0
2023-03-31,24.12,$-1.72,0.0
2022-12-31,29.54,$-2.00,0.0
2022-09-30,41.82,$-2.01,0.0
2022-06-30,28.12,$-1.13,0.0
2022-03-31,37.14,$-1.74,0.0
2021-12-31,43.7,$-1.27,0.0
2023-06-30,24.52,$-0.80,0.0
2021-09-30,62.08,$-1.15,0.0
2021-06-30,85.44,$-0.31,0.0
2021-03-31,44.95,$-0.21,0.0
2020-12-31,6.82,$-0.19,0.0
2020-09-30,11.51,$-0.19,0.0
2020-06-30,3.08,$-0.14,0.0
2020-03-31,4.11,$-0.15,0.0
2019-12-31,5.2,$-0.15,0.0
2019-09-30,1.2,$-0.21,0.0
2019-06-30,1.21,$-0.11,0.0
2019-03-31,1.29,$-0.24,0.0
2018-12-31,0.85,$-0.45,0.0
2018-09-30,1.01,$-0.57,0.0
2018-06-30,2.06,$-0.95,0.0
2018-03-31,7.09,$-1.29,0.0
2017-12-31,4.0,$-1.26,0.0
2017-09-30,4.07,$-1.51,0.0
2017-06-30,4.15,$-1.62,0.0
2017-03-31,6.25,$-1.63,0.0
2016-12-31,3.99,$-1.89,0.0
2016-09-30,7.0,$-1.97,0.0
2016-06-30,15.33,$-1.90,0.0
2016-03-31,15.61,$-1.70,0.0
2015-12-31,12.25,$-1.43,0.0
2015-09-30,12.81,$-1.28,0.0
2015-06-30,12.11,$-1.16,0.0
2015-03-31,13.23,$-1.26,0.0
2014-12-31,14.21,$-1.49,0.0
2014-09-30,27.37,$-1.31,0.0
2014-06-30,40.25,$-1.34,0.0
2014-03-31,38.5,$-1.22,0.0
2013-12-31,34.02,$-1.08,0.0
2013-09-30,19.04,$-1.14,0.0
2013-06-30,15.47,$0.43,35.62
2013-03-31,24.01,$-1.09,0.0
2012-12-31,18.97,$-1.12,0.0
2012-09-30,27.27,$-0.96,0.0
2012-06-30,25.32,$-2.44,0.0
2012-03-31,19.55,$-0.90,0.0
2011-12-31,20.52,$-0.04,0.0
2011-09-30,25.7,$-0.46,0.0
2011-06-30,20.9,$0.29,72.66
2011-03-31,51.62,$0.64,80.91
2010-12-31,36.45,$-0.02,0.0
2010-09-30,25.59,$0.18,139.61
2010-06-30,23.02,$-1.25,0.0
2010-03-31,25.96,$-1.94,0.0
2009-12-31,22.19,$-2.44,0.0
