Fox Factory Holding Price to Free Cash Flow Ratio Historical Data,Fox Factory Holding Price to Free Cash Flow Ratio Historical Data,Fox Factory Holding Price to Free Cash Flow Ratio Historical Data,Fox Factory Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.01,,10.03
2024-06-30,48.19,$4.09,11.79
2024-03-31,52.07,$4.93,10.56
2023-12-31,67.48,$3.11,21.71
2023-09-30,99.08,$5.10,19.42
2023-06-30,108.51,$5.32,20.4
2023-03-31,121.37,$5.19,23.37
2022-12-31,91.23,$3.46,26.38
2022-09-30,79.08,$-1.75,0.0
2022-06-30,80.54,$-3.52,0.0
2022-03-31,97.95,$-4.49,0.0
2021-12-31,170.1,$0.24,712.31
2021-09-30,144.54,$1.93,74.88
2021-06-30,155.66,$2.58,60.26
2021-03-31,127.06,$1.25,101.84
2020-12-31,105.71,$0.50,210.16
2020-09-30,74.33,$1.17,63.43
2020-06-30,82.61,$-0.72,0.0
2019-12-31,69.57,$0.54,127.86
2019-09-30,62.24,$2.21,28.1
2019-06-30,82.51,$1.01,81.97
2019-03-31,69.89,$1.36,51.37
2018-12-31,58.87,$1.76,33.52
2020-03-31,42.0,$-0.15,0.0
2018-09-30,70.05,$1.53,45.64
2018-06-30,46.55,$1.02,45.8
2018-03-31,34.9,$0.82,42.56
2017-12-31,38.85,$0.81,48.07
2017-09-30,43.1,$0.96,45.06
2017-06-30,35.6,$1.28,27.92
2017-03-31,28.7,$0.86,33.55
2016-12-31,27.75,$0.71,39.11
2016-09-30,22.97,$0.43,52.89
2016-06-30,17.37,$0.46,37.93
2016-03-31,15.81,$0.32,49.65
2015-12-31,16.53,$0.51,32.5
2015-09-30,16.86,$0.49,34.71
2015-06-30,16.08,$0.59,27.11
2015-03-31,15.34,$1.00,15.35
2014-12-31,16.23,$0.75,21.59
2014-09-30,15.5,$0.85,18.21
2014-06-30,17.59,$0.57,30.78
