Myriad Genetics Price to Free Cash Flow Ratio Historical Data,Myriad Genetics Price to Free Cash Flow Ratio Historical Data,Myriad Genetics Price to Free Cash Flow Ratio Historical Data,Myriad Genetics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.33,,0.0
2024-06-30,24.46,$-1.48,0.0
2024-03-31,21.32,$-1.69,0.0
2023-12-31,19.14,$-2.10,0.0
2023-09-30,16.04,$-1.61,0.0
2023-06-30,23.18,$-1.46,0.0
2023-03-31,23.23,$-1.92,0.0
2022-12-31,14.51,$-1.88,0.0
2022-09-30,19.08,$-1.77,0.0
2022-06-30,18.17,$-2.07,0.0
2022-03-31,25.2,$-1.50,0.0
2021-12-31,27.6,$0.01,0.0
2021-09-30,32.29,$0.42,76.16
2021-06-30,30.58,$0.23,131.7
2021-03-31,30.45,$0.67,45.71
2020-12-31,19.78,$0.00,0.0
2020-09-30,13.04,$-0.33,0.0
2020-06-30,11.34,$0.01,937.19
2020-03-31,14.31,$0.31,46.54
2019-12-31,27.23,$0.58,47.29
2019-09-30,28.63,$0.74,38.8
2019-03-31,33.2,$0.30,112.47
2018-12-31,29.07,$0.54,53.59
2018-09-30,46.0,$0.51,89.79
2018-06-30,37.37,$-0.21,0.0
2018-03-31,29.55,$1.58,18.67
2017-12-31,34.35,$1.16,29.64
2017-09-30,36.18,$0.67,53.9
2017-03-31,19.2,$-0.40,0.0
2016-12-31,16.67,$0.36,46.28
2016-09-30,20.58,$0.62,33.31
2016-06-30,30.6,$1.08,28.3
2016-03-31,37.43,$1.87,20.04
2015-12-31,43.16,$1.08,39.91
2015-09-30,37.48,$1.02,36.86
2015-06-30,33.99,$0.56,60.87
2015-03-31,35.4,$-0.36,0.0
2014-12-31,34.06,$0.56,61.0
2014-09-30,38.57,$0.59,65.33
2014-06-30,38.92,$1.69,23.01
2014-03-31,34.19,$2.28,15.0
2013-12-31,20.98,$1.69,12.4
2013-09-30,23.5,$1.25,18.83
2013-06-30,26.87,$0.79,34.06
2013-03-31,25.41,$0.96,26.59
2012-12-31,27.25,$0.79,34.54
2012-09-30,26.95,$0.87,31.01
2012-06-30,23.77,$0.63,37.86
2012-03-31,23.66,$0.69,34.32
2011-12-31,20.94,$0.63,33.35
2011-09-30,18.74,$0.73,25.68
2011-06-30,22.71,$0.68,33.55
2011-03-31,20.15,$0.67,30.01
2010-12-31,22.84,$0.68,33.74
2010-09-30,16.41,$0.67,24.32
2010-06-30,14.95,$0.60,24.78
2010-03-31,24.05,$1.22,19.68
2009-12-31,26.09,$0.60,43.25
2009-09-30,27.41,$0.22,126.26
2009-06-30,35.65,0,0.0
