Verona Pharma American Depositary Share Price to Free Cash Flow Ratio Historical Data,Verona Pharma American Depositary Share Price to Free Cash Flow Ratio Historical Data,Verona Pharma American Depositary Share Price to Free Cash Flow Ratio Historical Data,Verona Pharma American Depositary Share Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.66,,0.0
2024-06-30,14.46,$-0.67,0.0
2024-03-31,16.09,$-0.73,0.0
2023-12-31,19.88,$-0.63,0.0
2023-09-30,16.3,$-0.64,0.0
2023-06-30,21.14,$-0.69,0.0
2023-03-31,20.08,$-0.74,0.0
2022-12-31,26.13,$-0.91,0.0
2022-09-30,10.22,$-1.06,0.0
2022-06-30,4.19,$-0.47,0.0
2022-03-31,4.99,$-0.49,0.0
2021-12-31,6.72,$-0.56,0.0
2021-09-30,5.48,$-1.03,0.0
2021-06-30,6.54,$-0.81,0.0
2021-03-31,8.36,$0.15,55.33
2020-12-31,7.0,$-0.08,0.0
2020-09-30,6.24,$0.67,9.33
2020-06-30,4.68,$-0.56,0.0
2018-12-31,9.65,$-1.84,0.0
2018-09-30,12.51,$-1.93,0.0
2018-06-30,13.66,$0.40,33.88
2018-03-31,20.0,$0.14,140.15
2017-09-30,15.35,$0.19,80.41
2017-06-30,11.66,$0.03,355.34
2019-12-31,5.75,$-3.26,0.0
2019-09-30,4.57,$-3.38,0.0
