Perella Weinberg Partners Price to Free Cash Flow Ratio Historical Data,Perella Weinberg Partners Price to Free Cash Flow Ratio Historical Data,Perella Weinberg Partners Price to Free Cash Flow Ratio Historical Data,Perella Weinberg Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.12,,0.0
2024-06-30,16.25,$-0.40,0.0
2024-03-31,14.13,$0.38,37.24
2023-12-31,12.23,$1.02,12.02
2023-09-30,10.18,$0.06,183.75
2023-06-30,8.33,$0.17,50.0
2023-03-31,9.1,$0.45,20.22
2022-12-31,9.8,$-0.49,0.0
2022-09-30,6.33,$-0.05,0.0
2022-06-30,5.77,$0.58,9.94
2022-03-31,9.26,$-0.16,0.0
2021-12-31,12.52,$2.52,4.97
2021-09-30,12.82,$1.35,9.49
