Match Group Price to Free Cash Flow Ratio Historical Data,Match Group Price to Free Cash Flow Ratio Historical Data,Match Group Price to Free Cash Flow Ratio Historical Data,Match Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,37.21,,11.54
2024-06-30,30.38,$3.23,9.42
2024-03-31,36.28,$3.42,10.6
2023-12-31,36.5,$2.83,12.91
2023-09-30,39.18,$2.69,14.59
2023-06-30,41.85,$2.69,15.55
2023-03-31,38.39,$1.25,30.64
2022-12-31,41.49,$1.61,25.7
2022-09-30,47.75,$1.67,28.64
2022-06-30,69.69,$1.68,41.44
2022-03-31,108.74,$3.13,34.69
2021-12-31,132.25,$2.73,48.43
2021-09-30,156.99,$2.88,54.59
2021-06-30,161.25,$2.31,69.71
2021-03-31,137.38,$2.68,51.22
2020-12-31,151.19,$2.53,59.77
2020-09-30,110.65,$-0.68,0.0
2020-06-30,92.35,$0.29,316.04
2020-03-31,51.18,$-0.71,0.0
2019-12-31,71.13,0,0.0
2019-09-30,62.24,$-2.90,0.0
2019-06-30,62.12,$-1.31,0.0
2019-03-31,60.0,$0.80,75.4
2018-12-31,52.27,$1.48,35.25
2018-09-30,61.88,$7.88,7.85
2018-06-30,43.54,$6.36,6.85
2018-03-31,44.65,$4.85,9.2
2017-12-31,34.92,$4.00,8.73
2017-09-30,33.58,$4.48,7.49
2017-06-30,29.48,$4.10,7.18
2017-03-31,21.05,$3.74,5.63
2016-12-31,18.5,$3.33,5.56
