Johnson & Johnson Price to Free Cash Flow Ratio Historical Data,Johnson & Johnson Price to Free Cash Flow Ratio Historical Data,Johnson & Johnson Price to Free Cash Flow Ratio Historical Data,Johnson & Johnson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,165.86,,19.55
2024-06-30,145.06,$8.48,17.1
2024-03-31,155.72,$7.59,20.51
2023-12-31,153.13,$7.27,21.07
2023-09-30,150.96,$6.28,24.04
2023-06-30,159.29,$5.63,28.32
2023-03-31,148.04,$6.23,23.76
2022-12-31,167.54,$6.65,25.18
2022-09-30,153.95,$6.80,22.65
2022-06-30,166.16,$7.60,21.85
2022-03-31,164.86,$7.52,21.94
2021-12-31,158.11,$7.65,20.65
2021-09-30,148.28,$8.72,17.0
2021-06-30,150.36,$8.77,17.14
2021-03-31,149.07,$8.14,18.31
2020-12-31,141.87,$7.67,18.49
2020-09-30,133.27,$6.91,19.29
2020-06-30,125.05,$6.65,18.81
2020-03-31,115.8,$8.50,13.62
2019-12-31,127.98,$8.64,14.82
2019-09-30,112.73,$9.35,12.06
2019-06-30,121.36,$8.74,13.88
2019-03-31,120.97,$8.04,15.04
2018-12-31,110.95,$7.97,13.93
2018-09-30,118.03,$7.48,15.79
2018-06-30,102.97,$7.70,13.37
2018-03-31,107.95,$7.36,14.66
2017-12-31,116.95,$7.14,16.37
2017-09-30,108.17,$7.11,15.21
2017-06-30,109.37,$6.62,16.51
2017-03-31,102.29,$6.33,16.16
2016-12-31,94.01,$6.03,15.6
2016-09-30,95.73,$5.86,16.32
2016-06-30,97.65,$6.19,15.77
2016-03-31,86.49,$6.66,12.99
2015-12-31,81.52,$6.96,11.72
2015-09-30,73.54,$6.13,12.0
2015-06-30,76.18,$6.80,11.2
2015-03-31,78.07,$6.56,11.9
2014-12-31,80.59,$6.85,11.76
2014-09-30,81.61,$6.76,12.08
2014-06-30,79.56,$5.83,13.66
2014-03-31,74.19,$5.49,13.51
2013-12-31,68.68,$4.96,13.84
2013-09-30,64.56,$4.94,13.08
2013-06-30,63.47,$4.71,13.47
2013-03-31,59.81,$4.64,12.89
2012-12-31,51.02,$4.97,10.27
2012-09-30,49.72,$5.02,9.91
2012-06-30,48.31,$5.05,9.56
2012-03-31,46.71,$4.83,9.68
2011-12-31,46.04,$4.59,10.02
2011-09-30,44.3,$4.62,9.58
2011-06-30,45.86,$4.71,9.74
2011-03-31,40.49,$4.72,8.59
2010-12-31,41.89,$5.21,8.04
2010-09-30,41.61,$5.76,7.22
2010-06-30,39.29,$5.69,6.91
2010-03-31,42.98,$5.50,7.81
2009-12-31,42.14,$5.15,8.18
