CMS Energy Price to Free Cash Flow Ratio Historical Data,CMS Energy Price to Free Cash Flow Ratio Historical Data,CMS Energy Price to Free Cash Flow Ratio Historical Data,CMS Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,67.86,,0.0
2024-06-30,59.07,$-0.88,0.0
2024-03-31,59.38,$-0.63,0.0
2023-12-31,56.63,$-0.34,0.0
2023-09-30,51.34,$-1.19,0.0
2023-06-30,56.32,$-3.36,0.0
2023-03-31,58.38,$-4.43,0.0
2022-12-31,59.76,$-5.24,0.0
2022-09-30,54.52,$-4.72,0.0
2022-06-30,62.76,$-2.68,0.0
2022-03-31,64.59,$-1.61,0.0
2021-12-31,59.64,$-0.89,0.0
2021-09-30,54.37,$-1.56,0.0
2021-06-30,53.41,$-1.41,0.0
2021-03-31,54.97,$-1.12,0.0
2020-12-31,54.37,$-3.62,0.0
2020-09-30,54.38,$-2.38,0.0
2020-06-30,51.39,$-2.34,0.0
2020-03-31,51.3,$-2.69,0.0
2019-12-31,54.54,$-1.08,0.0
2019-09-30,55.17,$-1.90,0.0
2019-06-30,49.64,$-2.49,0.0
2019-03-31,47.28,$-1.85,0.0
2018-12-31,41.95,$-1.31,0.0
2018-09-30,41.1,$0.15,274.39
2018-06-30,39.37,$0.74,53.43
2018-03-31,37.42,$0.15,246.03
2017-12-31,38.77,$0.14,272.04
2017-09-30,37.7,$-0.25,0.0
2017-06-30,37.38,$0.16,234.05
2017-03-31,35.89,$0.04,895.07
2016-12-31,33.13,$-0.15,0.0
2016-09-30,33.19,$-0.81,0.0
2016-06-30,35.98,$-0.83,0.0
2016-03-31,33.04,$-0.41,0.0
2015-12-31,27.87,$0.27,101.4
2015-09-30,27.07,$1.39,19.44
2015-06-30,24.19,$0.78,31.1
2015-03-31,26.29,$0.02,1295.31
2014-12-31,25.97,$-0.35,0.0
2014-09-30,21.99,$-1.04,0.0
2014-06-30,22.88,$-0.54,0.0
2014-03-31,21.32,$-0.19,0.0
2013-12-31,19.3,$0.35,54.65
2013-09-30,18.8,$0.58,32.29
2013-06-30,19.23,$0.57,33.62
2013-03-31,19.61,$0.44,44.68
2012-12-31,16.94,$0.05,325.12
2012-09-30,16.2,$-0.80,0.0
2012-06-30,16.01,$-0.66,0.0
2012-03-31,14.83,$-0.12,0.0
2011-12-31,14.72,$1.09,13.51
2011-09-30,13.06,$1.19,10.97
2011-06-30,12.85,$1.15,11.22
2011-03-31,12.68,$1.14,11.17
2010-12-31,11.88,$0.55,21.78
2010-09-30,11.38,$1.57,7.23
2010-06-30,9.17,$0.95,9.65
2010-03-31,9.58,$0.19,49.45
2009-12-31,9.61,$0.13,76.21
