Aurinia Pharmaceuticals Inc Price to Free Cash Flow Ratio Historical Data,Aurinia Pharmaceuticals Inc Price to Free Cash Flow Ratio Historical Data,Aurinia Pharmaceuticals Inc Price to Free Cash Flow Ratio Historical Data,Aurinia Pharmaceuticals Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.18,,0.0
2024-06-30,5.71,$-0.01,0.0
2024-03-31,5.01,$-0.14,0.0
2023-12-31,8.99,$-0.24,0.0
2023-09-30,7.77,$-0.27,0.0
2023-06-30,9.68,$-0.28,0.0
2023-03-31,10.96,$-0.46,0.0
2022-12-31,4.32,$-0.56,0.0
2022-09-30,7.52,$-0.83,0.0
2022-06-30,10.05,$-1.03,0.0
2022-03-31,12.38,$-1.13,0.0
2021-12-31,22.87,$-1.22,0.0
2021-09-30,22.13,$-1.03,0.0
2021-06-30,12.96,$-0.95,0.0
2021-03-31,12.99,$-0.86,0.0
2020-12-31,13.83,$-0.64,0.0
2020-09-30,14.73,$-0.90,0.0
2020-06-30,16.25,$-0.80,0.0
2020-03-31,14.51,$-0.74,0.0
2019-12-31,20.26,$-0.68,0.0
2019-09-30,5.34,$-0.58,0.0
2019-06-30,6.58,$-0.58,0.0
2019-03-31,6.5,$-0.58,0.0
2018-12-31,6.82,$-0.61,0.0
2018-09-30,6.64,$-0.60,0.0
2018-06-30,5.63,$-0.57,0.0
2018-03-31,5.19,$-0.54,0.0
2017-12-31,4.53,$-0.54,0.0
2017-09-30,6.27,$0.28,22.31
2017-06-30,6.13,$0.23,27.0
2017-03-31,7.34,$0.18,40.82
2016-12-31,2.1,$0.20,10.34
2016-06-30,2.77,$-0.63,0.0
2016-03-31,2.91,$-0.59,0.0
2015-12-31,2.47,$-0.55,0.0
2015-09-30,2.84,$-0.55,0.0
2015-06-30,3.02,$-0.42,0.0
2015-03-31,4.36,$-0.71,0.0
