Southern Copper Price to Free Cash Flow Ratio Historical Data,Southern Copper Price to Free Cash Flow Ratio Historical Data,Southern Copper Price to Free Cash Flow Ratio Historical Data,Southern Copper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,111.99,,40.92
2024-06-30,106.5,$2.74,38.91
2024-03-31,104.21,$2.64,39.45
2023-12-31,83.37,$3.28,25.39
2023-09-30,71.92,$3.93,18.3
2023-06-30,67.72,$3.41,19.88
2023-03-31,71.08,$2.80,25.4
2022-12-31,55.54,$2.37,23.4
2022-09-30,40.86,$2.68,15.24
2022-06-30,44.69,$3.47,12.89
2022-03-31,66.56,$4.44,15.0
2021-12-31,53.31,$4.35,12.25
2021-09-30,47.7,$4.12,11.57
2021-06-30,53.93,$3.72,14.51
2021-03-31,56.41,$3.03,18.61
2020-12-31,53.67,$2.81,19.13
2020-09-30,36.97,$2.19,16.9
2020-06-30,32.19,$1.86,17.31
2020-03-31,22.66,$1.77,12.82
2019-12-31,33.76,$1.54,21.89
2019-09-30,26.83,$1.27,21.15
2019-06-30,30.54,$1.33,22.96
2019-03-31,30.86,$1.23,25.17
2018-12-31,23.6,$1.43,16.55
2018-09-30,32.76,$1.72,19.09
2018-06-30,35.29,$1.43,24.76
2018-03-31,40.56,$1.36,29.81
2017-12-31,35.29,$1.22,28.92
2017-09-30,29.41,$0.74,39.86
2017-06-30,25.52,$0.49,51.68
2017-03-31,26.36,$0.27,99.01
2016-12-31,23.41,$-0.25,0.0
2016-09-30,19.24,$-0.56,0.0
2016-06-30,19.7,$-0.67,0.0
2016-03-31,20.2,$-0.51,0.0
2015-12-31,19.01,$-0.34,0.0
2015-09-30,19.42,$-0.26,0.0
2015-06-30,21.3,$-0.16,0.0
2015-03-31,21.07,$-0.25,0.0
2014-12-31,20.29,$-0.21,0.0
2014-09-30,21.25,$-0.00,0.0
2014-06-30,21.68,$-0.06,0.0
2014-03-31,20.71,$-0.13,0.0
2013-12-31,20.35,$0.18,111.22
2013-09-30,19.23,$0.01,1657.66
2013-06-30,19.41,$0.55,35.44
2013-03-31,26.25,$0.82,31.96
2012-12-31,26.29,$1.13,23.3
2012-09-30,22.14,$1.56,14.2
2012-06-30,20.16,$1.90,10.63
2012-03-31,19.94,$1.84,10.86
2011-12-31,18.87,$1.71,11.01
2011-09-30,15.29,$1.97,7.78
2011-06-30,19.72,$1.60,12.29
2011-03-31,23.79,$1.99,11.96
2010-12-31,28.43,$1.75,16.23
2010-09-30,20.29,$1.94,10.48
2010-06-30,15.15,$1.76,8.61
2010-03-31,17.81,$1.22,14.6
2009-12-31,17.97,$0.65,27.58
