BHP Group Price to Free Cash Flow Ratio Historical Data,BHP Group Price to Free Cash Flow Ratio Historical Data,BHP Group Price to Free Cash Flow Ratio Historical Data,BHP Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.89,,inf
2024-06-30,55.54,0.0,0.0
2023-06-30,55.05,0.0,0.0
2022-12-31,55.59,0.0,0.0
2022-06-30,47.03,0.0,0.0
2021-12-31,43.27,0.0,0.0
2021-06-30,49.05,0.0,0.0
2020-12-31,42.87,0.0,0.0
2020-06-30,31.97,0.0,0.0
2019-12-31,34.14,0.0,0.0
2019-06-30,35.15,0.0,0.0
2018-12-31,27.42,0.0,0.0
2018-06-30,27.63,0.0,0.0
2017-12-31,24.8,0.0,0.0
2017-06-30,18.82,0.0,0.0
2016-12-31,18.52,0.0,0.0
2016-06-30,14.64,0.0,0.0
2015-12-31,13.05,0.0,0.0
2015-06-30,19.9,0.0,0.0
2014-12-31,22.52,0.0,0.0
2014-06-30,31.99,0.0,0.0
2013-12-31,31.33,0.0,0.0
2013-06-30,26.01,0.0,0.0
2012-12-31,34.84,0.0,0.0
2012-06-30,28.5,0.0,0.0
2011-12-31,30.39,0.0,0.0
2011-06-30,40.18,0.0,0.0
2010-12-31,39.07,0.0,0.0
