American States Water Price to Free Cash Flow Ratio Historical Data,American States Water Price to Free Cash Flow Ratio Historical Data,American States Water Price to Free Cash Flow Ratio Historical Data,American States Water Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,85.87,,0.0
2024-06-30,72.16,$-2.38,0.0
2024-03-31,71.44,$-2.16,0.0
2023-12-31,79.09,$-3.26,0.0
2023-09-30,76.97,$-2.59,0.0
2023-06-30,84.69,$-2.69,0.0
2023-03-31,86.15,$-2.53,0.0
2022-12-31,89.32,$-1.31,0.0
2022-09-30,74.92,$-0.98,0.0
2022-06-30,77.99,$-0.37,0.0
2022-03-31,84.78,$-0.37,0.0
2021-12-31,98.09,$-0.78,0.0
2021-09-30,80.78,$-0.70,0.0
2021-06-30,74.85,$-0.73,0.0
2021-03-31,70.84,$-0.07,0.0
2020-12-31,74.17,$-0.22,0.0
2020-09-30,69.61,$-0.41,0.0
2020-06-30,72.72,$-0.40,0.0
2020-03-31,75.3,$-1.13,0.0
2019-12-31,79.55,$-0.94,0.0
2019-09-30,82.21,$-1.01,0.0
2019-06-30,68.58,$-0.88,0.0
2019-03-31,64.74,$-0.17,0.0
2018-12-31,60.64,$0.28,217.72
2018-09-30,55.06,$0.28,198.93
2018-06-30,51.24,$0.22,231.34
2018-03-31,47.35,$1.82,26.01
2017-12-31,51.42,$1.78,28.82
2017-09-30,43.53,$1.79,24.27
2017-06-30,41.69,$1.30,32.18
2017-03-31,38.74,$-0.74,0.0
2016-12-31,39.63,$-0.90,0.0
2016-09-30,34.62,$-1.10,0.0
2016-06-30,37.68,$-1.01,0.0
2016-03-31,33.66,$-2.17,0.0
2015-12-31,35.7,$-1.50,0.0
2015-09-30,35.04,$-0.71,0.0
2015-06-30,31.46,$0.24,133.48
2014-12-31,31.34,$2.33,13.42
2014-09-30,25.16,$2.22,11.32
2014-06-30,27.3,$2.60,10.5
2014-03-31,26.34,$1.19,22.22
2013-12-31,23.27,$0.99,23.58
2013-09-30,22.16,$0.20,108.21
2013-06-30,21.44,$-0.23,0.0
2013-03-31,22.84,$0.89,25.58
2012-12-31,18.91,$0.87,21.63
2012-09-30,17.37,$1.16,14.93
2012-06-30,15.35,$1.03,14.94
2012-03-31,13.91,$0.22,63.34
2011-12-31,13.33,$0.00,0.0
2011-09-30,12.86,$-0.13,0.0
2011-06-30,13.03,$-0.53,0.0
2011-03-31,13.37,$-0.67,0.0
2010-12-31,12.75,$-0.65,0.0
2010-09-30,13.15,$-0.54,0.0
2010-06-30,12.09,$-0.43,0.0
2010-03-31,12.57,$-0.09,0.0
2009-12-31,12.72,$-0.13,0.0
2009-09-30,12.9,$0.41,31.5
