ManpowerGroup Price to Free Cash Flow Ratio Historical Data,ManpowerGroup Price to Free Cash Flow Ratio Historical Data,ManpowerGroup Price to Free Cash Flow Ratio Historical Data,ManpowerGroup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.05,,11.49
2024-06-30,69.8,$5.84,11.96
2024-03-31,77.64,$5.45,14.24
2023-12-31,79.47,$5.44,14.61
2023-09-30,71.9,$5.83,12.33
2023-06-30,77.86,$5.80,13.43
2023-03-31,79.27,$7.93,10.0
2022-12-31,79.92,$6.71,11.91
2022-09-30,61.18,$8.71,7.02
2022-06-30,72.27,$7.03,10.28
2022-03-31,87.5,$9.14,9.58
2021-12-31,90.67,$10.51,8.63
2021-09-30,99.48,$9.89,10.06
2021-06-30,109.24,$8.51,12.83
2021-03-31,89.92,$14.75,6.1
2020-12-31,81.99,$15.35,5.34
2020-09-30,65.79,$16.73,3.93
2020-06-30,61.68,$18.37,3.36
2020-03-31,46.8,$14.04,3.33
2019-12-31,85.76,$12.63,6.79
2019-09-30,73.54,$10.01,7.35
2019-06-30,84.32,$8.37,10.08
2019-03-31,71.27,$8.91,8.0
2018-12-31,55.85,$6.43,8.69
2018-09-30,73.18,$5.30,13.81
2018-06-30,73.27,$5.55,13.21
2018-03-31,96.9,$1.49,65.05
2017-12-31,106.17,$5.10,20.82
2017-09-30,98.48,$6.29,15.66
2017-06-30,93.33,$6.27,14.88
2017-03-31,84.95,$8.29,10.25
2016-12-31,73.6,$7.67,9.6
2016-09-30,59.25,$8.07,7.34
2016-06-30,52.75,$9.06,5.82
2016-03-31,66.04,$7.95,8.3
2015-12-31,68.37,$6.10,11.21
2015-09-30,65.84,$5.52,11.93
2015-06-30,71.87,$3.86,18.6
2015-03-31,68.63,$3.63,18.88
2014-12-31,54.3,$3.18,17.06
2014-09-30,55.45,$4.32,12.84
2014-06-30,67.11,$5.18,12.94
2014-03-31,61.98,$5.08,12.2
2013-12-31,67.51,$4.42,15.27
2013-09-30,56.87,$5.06,11.25
2013-06-30,42.84,$2.98,14.38
2013-03-31,43.98,$2.83,15.53
2012-12-31,32.91,$3.29,10.01
2012-09-30,28.22,$0.74,38.1
2012-06-30,28.11,$1.81,15.55
2012-03-31,35.89,$1.64,21.91
2011-12-31,27.09,$0.11,257.71
2011-09-30,25.2,$1.34,18.79
2011-06-30,40.21,$0.09,450.26
2011-03-31,46.81,$0.19,249.94
2010-12-31,46.72,$1.59,29.45
2010-09-30,38.61,$-1.21,0.0
2010-06-30,31.94,$-0.84,0.0
2010-03-31,41.9,$1.16,36.13
2009-12-31,40.04,$4.89,8.19
