Afya Price to Free Cash Flow Ratio Historical Data,Afya Price to Free Cash Flow Ratio Historical Data,Afya Price to Free Cash Flow Ratio Historical Data,Afya Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.61,,7.29
2024-06-30,17.65,$2.28,7.75
2024-03-31,18.58,$2.22,8.37
2023-12-31,21.93,$2.05,10.71
2023-09-30,15.8,$2.01,7.88
2023-06-30,14.04,$1.70,8.27
2023-03-31,11.16,$1.57,7.11
2022-12-31,15.62,$1.44,10.82
2022-09-30,13.56,$1.38,9.8
2022-06-30,9.95,$1.29,7.71
2022-03-31,14.41,$1.21,11.9
2021-12-31,15.71,$0.99,15.8
2021-09-30,19.74,$0.97,20.39
2021-06-30,25.78,$0.81,32.01
2021-03-31,18.59,$0.68,27.29
2020-12-31,25.3,$0.58,43.35
2020-09-30,27.24,$1.04,26.21
