Colliers Group Price to Free Cash Flow Ratio Historical Data,Colliers Group Price to Free Cash Flow Ratio Historical Data,Colliers Group Price to Free Cash Flow Ratio Historical Data,Colliers Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,150.41,,52.07
2024-06-30,111.65,$2.89,38.65
2024-03-31,122.07,$2.11,57.88
2023-12-31,126.35,$1.75,72.06
2023-09-30,95.01,$3.77,25.22
2023-06-30,97.94,$4.02,24.34
2023-03-31,105.12,$3.06,34.35
2022-12-31,91.67,$-0.01,0.0
2022-09-30,91.14,$-3.21,0.0
2022-06-30,109.09,$0.02,4743.02
2022-03-31,129.48,$0.27,485.86
2021-12-31,147.6,$5.38,27.42
2021-09-30,126.68,$5.17,24.5
2021-06-30,111.08,$5.62,19.77
2021-03-31,97.41,$4.87,20.01
2020-12-31,88.37,$3.14,28.15
2020-09-30,66.09,$6.06,10.9
2020-06-30,56.79,$3.54,16.03
2020-03-31,47.53,$6.39,7.44
2019-12-31,77.2,$6.67,11.58
2019-09-30,74.26,$6.70,11.08
2019-06-30,70.87,$6.99,10.13
2019-03-31,66.01,$4.83,13.67
2018-12-31,54.41,$5.58,9.76
2018-09-30,76.61,$4.59,16.69
2018-06-30,74.78,$4.38,17.09
2018-03-31,68.56,$4.49,15.28
2017-12-31,59.58,$4.41,13.51
2017-09-30,49.02,$3.56,13.79
2017-06-30,55.68,$3.00,18.58
2017-03-31,46.52,$2.34,19.89
2016-12-31,36.22,$3.38,10.73
2016-09-30,41.4,$3.31,12.5
2016-06-30,33.6,$3.54,9.5
2016-03-31,37.2,$4.41,8.44
2015-12-31,43.78,$3.48,12.57
2015-09-30,39.85,$2.50,15.92
2015-06-30,37.78,$2.29,16.52
2015-03-31,41.01,$1.86,22.0
2014-12-31,32.18,$1.40,22.91
2014-09-30,32.97,$2.31,14.27
2014-06-30,31.88,$2.52,12.67
2014-03-31,29.88,$2.03,14.74
2013-12-31,27.02,$2.25,11.99
2013-09-30,24.29,$1.88,12.93
2013-06-30,19.54,$1.71,11.44
2013-03-31,20.74,$1.56,13.3
2012-12-31,17.57,$1.93,9.12
2012-09-30,17.4,$1.33,13.04
2012-06-30,17.41,$1.00,17.5
2012-03-31,19.07,$1.17,16.28
2011-12-31,16.49,$1.41,11.67
2011-09-30,16.01,$1.43,11.23
2011-06-30,21.5,$1.41,15.22
2011-03-31,23.67,$1.97,11.99
2010-12-31,18.79,$2.69,6.98
2010-09-30,15.02,$2.89,5.19
2010-06-30,12.97,$2.79,4.64
2010-03-31,14.23,$2.34,6.08
2009-12-31,11.9,$1.92,6.19
